"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2023","4814930","Hank Beatty","WR","Illinois","Big Ten","0.01","0.0162","0.0028","0.0113","0.011","0.006","0.005","0.013"
"2023","4693370","Riley Nowakowski","TE","Wisconsin","Big Ten","0.0099","0.0189","0","0.0051","0.013","0.015","0.012","0.015"
"2023","5032961","Tucker Ashcraft","TE","Wisconsin","Big Ten","0.0099","0.0189","0","0.0051","0.02","0.005","0.02","0.007"
"2023","4685311","Jayden Denegal","QB","Michigan","Big Ten","0.0098","0.0133","0.0074","0","0.016","0.023","0.015","0.02"
"2023","4361279","Charlie Mangieri","TE","Northwestern","Big Ten","0.0095","0.0163","0.0025","0.0142","0.004","0.005","0.01","0.003"
"2023","4574026","Tyrese Chambers","WR","Maryland","Big Ten","0.0095","0.0166","0","0.0105","0.004","0.012","0.01","0.008"
"2023","4428090","Bradley Archer","TE","Indiana","Big Ten","0.0089","0.0186","0","0.0148","0","0.012","0.005","0.004"
"2023","4875209","Andison Coby","WR","Indiana","Big Ten","0.0089","0.0186","0","0.0059","0.008","0.012","0.009","0.013"
"2023","4565878","James Bomba","TE","Indiana","Big Ten","0.0089","0.0186","0","0.0148","0","0.012","0.009","0.004"
"2023","4870696","Malik Elzy","WR","Illinois","Big Ten","0.0088","0.0162","0","0.0085","0","0.019","0.005","0.013"
"2023","4596010","Lemeke Brockington","WR","Minnesota","Big Ten","0.0087","0.0215","0","0.0085","0.011","0.006","0.004","0.013"
"2023","4686248","Nate Boerkircher","TE","Nebraska","Big Ten","0.0084","0.0188","0.0023","0.0098","0.004","0.007","0","0.012"
"2023","4685274","Janiran Bonner","FB","Nebraska","Big Ten","0.0084","0.0075","0.0092","0.0065","0","0.027","0.017","0.004"
"2023","4685416","Shaleak Knotts","WR","Maryland","Big Ten","0.0083","0.0146","0","0.0105","0.004","0.012","0","0.011"
"2023","4682509","Malik McClain","WR","Penn State","Big Ten","0.0082","0.0179","0","0.0079","0.007","0.011","0.004","0.013"
"2023","4685510","Kaden Saunders","WR","Penn State","Big Ten","0.0082","0.0179","0","0.0026","0.018","0","0","0.026"
"2023","4894451","Brennan Parachek","TE","Michigan State","Big Ten","0.0081","0.0156","0","0.0032","0.004","0.019","0.012","0.011"
