"Season","Team","Conference","StatName","StatValue"
"2023","Ball State","Mid-American","netPassingYards","1640"
"2023","Penn State","Big Ten","passesIntercepted","12"
"2023","Florida State","ACC","penalties","85"
"2023","Northwestern","Big Ten","interceptionTDs","0"
"2023","BYU","Big 12","rushingTDs","15"
"2023","Eastern Michigan","Mid-American","interceptions","12"
"2023","Boston College","ACC","fourthDowns","38"
"2023","Liberty","Conference USA","passesIntercepted","21"
"2023","Akron","Mid-American","rushingTDs","12"
"2023","Boston College","ACC","totalYards","4950"
"2023","UCF","Big 12","rushingTDs","28"
"2023","Nevada","Mountain West","firstDowns","200"
"2023","South Alabama","Sun Belt","passesIntercepted","13"
"2023","Sam Houston State","Conference USA","fourthDownConversions","13"
"2023","North Texas","American Athletic","thirdDownConversions","73"
"2023","Northern Illinois","Mid-American","rushingAttempts","467"
"2023","Florida State","ACC","thirdDowns","182"
"2023","Hawai'i","Mountain West","penalties","80"
"2023","Purdue","Big Ten","fourthDownConversions","11"
"2023","Nebraska","Big Ten","firstDowns","197"
"2023","San Diego State","Mountain West","firstDowns","206"
"2023","Western Michigan","Mid-American","passCompletions","247"
"2023","Miami (OH)","Mid-American","thirdDowns","167"
"2023","Pittsburgh","ACC","firstDowns","195"
"2023","UCLA","Pac-12","passAttempts","410"
"2023","Coastal Carolina","Sun Belt","fumblesRecovered","9"
"2023","Memphis","American Athletic","sacks","23"
"2023","Temple","American Athletic","fumblesRecovered","2"
"2023","Temple","American Athletic","possessionTime","20416"
"2023","Boston College","ACC","puntReturnYards","112"
"2023","Kansas State","Big 12","kickReturnYards","328"
"2023","Ohio","Mid-American","puntReturns","15"
"2023","Central Michigan","Mid-American","passAttempts","325"
"2023","Arkansas","SEC","passAttempts","323"
"2023","Purdue","Big Ten","kickReturnYards","509"
"2023","Mississippi State","SEC","kickReturnYards","550"
"2023","Arkansas","SEC","totalYards","3918"
"2023","UAB","American Athletic","kickReturnYards","572"
"2023","San José State","Mountain West","passAttempts","376"
"2023","Arkansas","SEC","puntReturns","16"
"2023","Ohio State","Big Ten","thirdDowns","168"
"2023","Florida International","Conference USA","firstDowns","184"
"2023","Michigan State","Big Ten","puntReturnYards","89"
"2023","UNLV","Mountain West","games","14"
"2023","Syracuse","ACC","firstDowns","232"
"2023","Utah","Pac-12","puntReturns","24"
"2023","Air Force","Mountain West","thirdDownConversions","78"
"2023","Louisiana Monroe","Sun Belt","kickReturnTDs","0"
"2023","Colorado","Pac-12","passCompletions","323"
