"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2021","4360379","Kenyon Sims","RB","San José State","Mountain West","0.0064","0","0.0143","0.0037","0.01","0","0.007","0.01"
"2021","4570083","Jordan Kress","WR","Colorado State","Mountain West","0.0061","0.0107","0.0022","0.0056","0.004","0.011","0.005","0.007"
"2021","4571640","David Cormier","WR","Air Force","Mountain West","0.0059","0.045","0","0.0085","0","0.012","0","0.009"
"2021","4431325","Taylen Green","QB","Boise State","Mountain West","0.0059","0.0023","0.0094","0.0079","0.004","0.006","0.005","0.007"
"2021","4431002","Latrell Caples","WR","Boise State","Mountain West","0.0059","0.0093","0.0024","0","0.011","0.011","0.005","0.015"
"2021","4696733","Kue Olotoa","TE","UNLV","Mountain West","0.0056","0.0102","0","0","0.006","0.008","0","0.015"
"2021","4428219","Brionne Penny","WR","San Diego State","Mountain West","0.0055","0.0133","0","0.0051","0","0.016","0","0.01"
"2021","4256045","Marcus McElroy","RB","Colorado State","Mountain West","0.0049","0","0.0089","0.0028","0.008","0.005","0.005","0.007"
"2021","4048695","Jordan Nathan","WR","Utah State","Mountain West","0.0048","0.0076","0.0019","0.0066","0.006","0","0","0.006"
"2021","4569912","Wyatt Wieland","WR","Wyoming","Mountain West","0.0048","0.0127","0","0","0.004","0.018","0.005","0.012"
"2021","4613199","Josh Sterzer","TE","Utah State","Mountain West","0.0048","0.0096","0","0.0066","0.003","0.005","0","0.006"
"2021","4569986","Kyle Van Leeuwen","WR","Utah State","Mountain West","0.0048","0.0096","0","0","0.003","0.014","0.004","0.011"
"2021","4432505","Elijah Queen","TE","New Mexico","Mountain West","0.0047","0.0117","0","0.0077","0","0.007","0","0.004"
"2021","4880790","Tyrese Mack","WR","Nevada","Mountain West","0.0045","0.0067","0","0","0","0.022","0.005","0.01"
"2021","4699782","Mekhi Shaw","WR","San Diego State","Mountain West","0.0044","0.0106","0","0.0051","0.007","0","0.004","0.003"
"2021","4695669","Jordan Brown","WR","Fresno State","Mountain West","0.0043","0.0075","0","0.0046","0","0.011","0.004","0.004"
"2021","4430757","Jayvaun Wilson","RB","UNLV","Mountain West","0.0037","0","0.0084","0","0.012","0","0.017","0"
"2021","4571668","Jake Spiewak","WR","Air Force","Mountain West","0.0036","0.027","0","0.0028","0.004","0.006","0.004","0.004"
"2021","4256044","Justice McCoy","WR","Colorado State","Mountain West","0.0036","0.008","0","0.0028","0.004","0","0.01","0"
"2021","4699777","Ben Jefferson","WR","Air Force","Mountain West","0.0036","0","0.0041","0.0028","0.004","0.006","0.007","0.004"
"2021","4875562","John Lee Eldridge III","RB","Air Force","Mountain West","0.0036","0","0.0041","0","0.007","0.006","0.004","0.009"
"2021","4432733","Clay Millen","QB","Nevada","Mountain West","0.0033","0.0033","0.0035","0.0025","0.003","0.005","0","0.007"
"2021","4261602","Isaiah Richardson","WR","San Diego State","Mountain West","0.0033","0.008","0","0.0051","0.003","0","0.004","0"
"2021","4699783","Lucky Avinger","RB","San Diego State","Mountain West","0.0033","0","0.0057","0","0.007","0.005","0.004","0.007"
"2021","4880791","Dylan Overstreet","RB","Nevada","Mountain West","0.0033","0","0.0104","0.005","0.003","0","0.005","0"
"2021","4569089","Carson Walters","WR","Nevada","Mountain West","0.0033","0.005","0","0.005","0","0.005","0","0.003"
"2021","4687017","Jackson Canaan","TE","San José State","Mountain West","0.0032","0.0058","0","0.0037","0.005","0","0.007","0"
"2021","4612197","Jace Taylor","WR","New Mexico","Mountain West","0.0031","0.0078","0","0","0","0.013","0.006","0.004"
"2021","4683296","Keyonta Lanier","WR","New Mexico","Mountain West","0.0031","0.0078","0","0.0038","0.005","0","0.006","0"
"2021","4427194","Steven Fiso","WR","Hawai'i","Mountain West","0.0026","0.0046","0","0","0.008","0","0.012","0"
"2021","4256087","Hekili Keliiliki","RB","Hawai'i","Mountain West","0.0026","0.0046","0","0","0.004","0.007","0.006","0.004"
"2021","4431271","Tamatoa Mokiao-Atimalala","WR","Hawai'i","Mountain West","0.0026","0.0046","0","0","0.004","0.007","0.006","0.004"
"2021","4693798","Koali Nishigaya","WR","Hawai'i","Mountain West","0.0026","0.0046","0","0","0","0.013","0.006","0.004"
"2021","4693808","Dior Scott","WR","Hawai'i","Mountain West","0.0026","0.0046","0","0","0.004","0.007","0","0.008"
"2021","4686454","Colin O'Brien","TE","Wyoming","Mountain West","0.0024","0.0063","0","0.0028","0.004","0","0","0.004"
"2021","4571649","Amari Terry","WR","Air Force","Mountain West","0.0024","0","0.0027","0","0.007","0","0.004","0.004"
"2021","4361293","Thomas Pannunzio","WR","Colorado State","Mountain West","0.0024","0","0.0044","0.0056","0","0","0","0"
"2021","4261610","Ethan Dedeaux","WR","San Diego State","Mountain West","0.0022","0.0053","0","0.0051","0","0","0","0"
"2021","4241608","Reagan Roberson","TE","Nevada","Mountain West","0.0022","0.0033","0","0.0025","0","0.005","0","0.003"
"2021","4361518","Kobe Smith","WR","San Diego State","Mountain West","0.0022","0.0053","0","0","0.003","0.005","0.004","0.003"
"2021","4373894","Emoryie Edwards","WR","Fresno State","Mountain West","0.0021","0.0038","0","0","0.007","0","0.004","0.004"
"2021","4429889","Jordan Jakes","WR","UNLV","Mountain West","0.0019","0.0034","0","0","0.006","0","0","0.005"
"2021","4577779","Blake Wells","WR","New Mexico","Mountain West","0.0016","0.0039","0","0.0038","0","0","0","0"
"2021","4427836","Skylar Loving-Black","TE","San José State","Mountain West","0.0016","0.0029","0","0","0.005","0","0","0.005"
"2021","4875889","Joah Flores","WR","New Mexico","Mountain West","0.0016","0.0039","0","0.0038","0","0","0","0"
"2021","4363648","Kamuela Borden","TE","Hawai'i","Mountain West","0.0013","0.0023","0","0","0","0.007","0.006","0"
"2021","4575539","Tyler Eiguren","TE","Boise State","Mountain West","0.0012","0.0023","0","0","0","0.006","0","0.004"
"2021","4361704","Jackson Marcotte","TE","Wyoming","Mountain West","0.0012","0.0032","0","0.0028","0","0","0","0"
"2021","4683297","Gerick Robinson","WR","Colorado State","Mountain West","0.0012","0.0027","0","0","0","0.005","0","0.004"
"2021","4896197","Caleb Rillos","TE","Air Force","Mountain West","0.0012","0.009","0","0.0028","0","0","0","0"
"2021","4432220","Tyrese Grant","WR","Wyoming","Mountain West","0.0012","0","0.002","0.0028","0","0","0","0"
"2021","4683308","Tanner Arkin","TE","Colorado State","Mountain West","0.0012","0.0027","0","0.0028","0","0","0","0"
"2021","4361514","TJ Sullivan","WR","San Diego State","Mountain West","0.0011","0.0027","0","0","0.003","0","0","0.003"
"2021","4699788","Darius De Los Reyes","WR","San Diego State","Mountain West","0.0011","0.0027","0","0","0.003","0","0.004","0"
