"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2023","4427914","D'Wan Mathis","WR","Temple","American Athletic","0.0024","0.004","0","0","0.008","0","0","0.007"
"2023","4684327","Colby Powers","TE","Tulsa","American Athletic","0.0024","0.006","0","0","0.004","0.005","0","0.007"
"2023","5080547","Peter Clarke","TE","Temple","American Athletic","0.0024","0.004","0","0.0029","0","0","0.005","0"
"2023","5091736","George Arata","RB","Tulane","American Athletic","0.0023","0","0.004","0.0026","0.004","0","0.004","0"
"2023","4703283","Christian Carter","WR","Memphis","American Athletic","0.0022","0.0041","0","0","0.007","0","0.004","0.004"
"2023","4689272","Jaren Randle","WR","UT San Antonio","American Athletic","0.0021","0.0044","0","0.0024","0","0.005","0.004","0"
"2023","4833629","Jace Wilson","WR","UT San Antonio","American Athletic","0.0021","0.0044","0","0.0024","0.003","0","0","0.003"
"2023","4689553","Carter Campbell","WR","SMU","American Athletic","0.0021","0.0044","0","0.0023","0.003","0","0","0.003"
"2023","4918105","Jaylen Johnson","RB","South Florida","American Athletic","0.002","0","0.0038","0.0023","0.003","0","0","0.003"
"2023","5160145","Brock Burnette","WR","South Florida","American Athletic","0.002","0.0042","0","0","0.003","0.005","0","0.006"
"2023","4430331","Javion Posey","WR","Florida Atlantic","American Athletic","0.0013","0.0024","0","0","0.004","0","0","0.004"
"2023","4708099","Gus McGee","TE","Charlotte","American Athletic","0.0013","0.0029","0","0","0","0.006","0","0.004"
"2023","4869735","Roger Walters","WR","Charlotte","American Athletic","0.0013","0.0029","0","0","0","0","0.005","0"
"2023","4604008","Kelan Robinson","WR","East Carolina","American Athletic","0.0013","0.0025","0","0","0.004","0","0","0.004"
"2023","4715386","Marvin Landy","TE","Florida Atlantic","American Athletic","0.0013","0.0024","0","0","0.004","0","0","0.004"
"2023","4429120","Micah Bowens","QB","Charlotte","American Athletic","0.0013","0.0029","0","0","0","0","0","0.004"
"2023","5125905","Corri Milliner","WR","UAB","American Athletic","0.0012","0.0023","0","0","0.004","0","0.004","0"
"2023","4912281","Taven Curry","RB","UAB","American Athletic","0.0012","0","0.0026","0.0026","0","0","0","0"
"2023","5151274","Drayden Dickmann","WR","Rice","American Athletic","0.0012","0.0023","0","0","0.004","0","0","0.004"
"2023","4570634","Bayne Tryon","TE","Tulsa","American Athletic","0.0012","0.003","0","0","0","0.005","0","0.004"
"2023","4875899","Christian Francisco","RB","Rice","American Athletic","0.0012","0","0.0028","0","0.004","0","0.005","0"
"2023","5091743","Tate Jernigan","RB","Tulane","American Athletic","0.0011","0","0.002","0.0026","0","0","0","0"
"2023","5091744","Garrett Mmahat","WR","Tulane","American Athletic","0.0011","0.0026","0","0.0026","0","0","0","0"
"2023","5152166","Jamauri Chislom","TE","Memphis","American Athletic","0.0011","0.0021","0","0","0.003","0","0.004","0"
"2023","5152162","Marcello Bussey","WR","Memphis","American Athletic","0.0011","0.0021","0","0.0025","0","0","0","0"
"2023","5084099","Markus Schumacher","TE","SMU","American Athletic","0.001","0.0022","0","0","0","0.005","0.004","0"
"2023","5084089","Joey Bruszer","WR","SMU","American Athletic","0.001","0.0022","0","0","0.003","0","0.004","0"
"2023","4920161","Tripp Riordan","TE","SMU","American Athletic","0.001","0.0022","0","0","0","0.005","0","0.003"
"2023","4870789","Jaxson Lavender","WR","SMU","American Athletic","0.001","0.0022","0","0.0023","0","0","0","0"
"2023","4427486","Micah Hilts","TE","SMU","American Athletic","0.001","0.0022","0","0","0.003","0","0","0.003"
"2023","4427925","Nolan Matthews","TE","SMU","American Athletic","0.001","0.0022","0","0","0","0.005","0","0.003"
"2023","5125850","Tyree Kelly","WR","South Florida","American Athletic","0.001","0.0021","0","0.0023","0","0","0","0"
"2023","5086009","Jamarion Carroll","WR","SMU","American Athletic","0.001","0.0022","0","0.0023","0","0","0","0"
"2023","5084094","Keaton Cheves","WR","SMU","American Athletic","0.001","0.0022","0","0.0023","0","0","0","0"
