"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2020","4241222","Charlie Brewer","QB","Baylor","Big 12","0.6805","0.9692","0.2974","0.5856","0.672","0.839","0.672","0.786"
"2020","4241820","Sam Ehlinger","QB","Texas","Big 12","0.6107","0.9418","0.2672","0.5309","0.586","0.865","0.584","0.737"
"2020","4361741","Brock Purdy","QB","Iowa State","Big 12","0.5442","0.9766","0.1659","0.4342","0.571","0.758","0.461","0.8"
"2020","4244029","Jarret Doege","QB","West Virginia","Big 12","0.5418","0.9303","0.0623","0.5","0.546","0.607","0.441","0.659"
"2020","4427105","Max Duggan","QB","TCU","Big 12","0.52","0.8776","0.2447","0.4483","0.516","0.664","0.475","0.664"
"2020","4426339","Spencer Rattler","QB","Oklahoma","Big 12","0.5111","0.875","0.1594","0.3989","0.588","0.672","0.553","0.657"
"2020","4429955","Will Howard","QB","Kansas State","Big 12","0.4101","0.668","0.2113","0.3038","0.402","0.643","0.44","0.52"
"2020","4361825","Spencer Sanders","QB","Oklahoma State","Big 12","0.4079","0.719","0.1691","0.3509","0.422","0.5","0.37","0.5"
"2020","4427366","Breece Hall","RB","Iowa State","Big 12","0.3721","0.0727","0.6341","0.4553","0.358","0.199","0.448","0.169"
"2020","4596472","Jalon Daniels","QB","Kansas","Big 12","0.3512","0.5421","0.1565","0.3031","0.316","0.486","0.31","0.426"
"2020","4362159","Alan Bowman","QB","Texas Tech","Big 12","0.3264","0.5591","0.0315","0.3302","0.328","0.34","0.246","0.385"
"2020","4362196","Leddie Brown","RB","West Virginia","Big 12","0.3147","0.0938","0.5875","0.3344","0.337","0.27","0.362","0.264"
"2020","4259219","Henry Colombi","QB","Texas Tech","Big 12","0.2948","0.4384","0.1136","0.2799","0.277","0.327","0.257","0.341"
"2020","4431453","Deuce Vaughn","RB","Kansas State","Big 12","0.2689","0.1429","0.3661","0.3038","0.296","0.167","0.213","0.255"
"2020","4360331","Miles Kendrick","QB","Kansas","Big 12","0.2535","0.4174","0.0863","0.1969","0.293","0.296","0.275","0.299"
"2020","4362162","SaRodorick Thompson","RB","Texas Tech","Big 12","0.1928","0.0788","0.3407","0.2296","0.181","0.143","0.166","0.159"
"2020","4241416","Chuba Hubbard","RB","Oklahoma State","Big 12","0.1699","0.0275","0.2791","0.1821","0.193","0.099","0.201","0.129"
"2020","4569173","Rhamondre Stevenson","RB","Oklahoma","Big 12","0.1595","0.0638","0.2519","0.2207","0.131","0.052","0.111","0.101"
"2020","4430807","Bijan Robinson","RB","Texas","Big 12","0.1509","0.0582","0.2471","0.1975","0.151","0.045","0.101","0.12"
"2020","4036419","Skylar John Thompson","QB","Kansas State","Big 12","0.1395","0.2625","0.0446","0.1115","0.131","0.19","0.12","0.199"
