"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4430090","Cletus Mathurin","UMass","FBS Independents","defensive","SOLO","5"
"4876328","Kobe Singleton","Liberty","FBS Independents","defensive","TOT","26"
"4241222","Charlie Brewer","Liberty","FBS Independents","rushing","YDS","23"
"4431533","Gabriel Rubio","Notre Dame","FBS Independents","defensive","TD","0"
"4613059","Devontae Houston","Connecticut","FBS Independents","passing","YDS","7"
"4608772","Brian Brewton","Connecticut","FBS Independents","receiving","LONG","10"
"4613059","Devontae Houston","Connecticut","FBS Independents","kickReturns","LONG","30"
"-6965"," Team","Notre Dame","FBS Independents","rushing","CAR","12"
"4426992","Howard Cross III","Notre Dame","FBS Independents","defensive","SACKS","2.5"
"5082173","Bailey Meek","Army","FBS Independents","defensive","PD","0"
"4569948","Keanu Hill","BYU","FBS Independents","receiving","YDS","572"
"4874457","Robert Rahimi","Liberty","FBS Independents","defensive","TFL","1.5"
"4569003","Juan Rosario","Connecticut","FBS Independents","defensive","QB HUR","0"
"4689607","Durrell Johnson","Liberty","FBS Independents","fumbles","LOST","0"
"4689085","Dre Butler","Liberty","FBS Independents","receiving","LONG","20"
"4689809","Ay'Juan Marshall","Army","FBS Independents","receiving","YPR","34.7"
"4432803","Kaidon Salter","Liberty","FBS Independents","passing","TD","8"
"4255984","Kaleb Hayes","BYU","FBS Independents","defensive","SOLO","21"
"4243249","TJ Green","Liberty","FBS Independents","rushing","YDS","232"
"4832806","Jonathan Brady","New Mexico State","FBS Independents","kickReturns","AVG","20.0"
"4572040","George Johnson","UMass","FBS Independents","kickReturns","AVG","10.0"
"5100552","De'Shawn Johnson","New Mexico State","FBS Independents","defensive","QB HUR","0"
"4430804","Chris Tyree","Notre Dame","FBS Independents","kickReturns","LONG","33"
"4874457","Robert Rahimi","Liberty","FBS Independents","interceptions","AVG","7.6"
"4569940","Ben Bywater","BYU","FBS Independents","defensive","SACKS","1"
"4374170","Bryce Jackson","New Mexico State","FBS Independents","defensive","SACKS","0"
"4876328","Kobe Singleton","Liberty","FBS Independents","defensive","SACKS","0"
"4373800","Kwabena Bonsu","Army","FBS Independents","defensive","PD","0"
"4693791","Dae Dae Hunter","Liberty","FBS Independents","fumbles","FUM","2"
"4431606","Ahmonte Watkins","New Mexico State","FBS Independents","receiving","YDS","32"
"4816107","Benjamin Morrison","Notre Dame","FBS Independents","defensive","TOT","30"
"4429228","Tristan Armstrong","UMass","FBS Independents","kickReturns","LONG","2"
"-6965"," Team","Notre Dame","FBS Independents","rushing","LONG","0"
"5084178","Jamoni Jones","New Mexico State","FBS Independents","passing","TD","0"
"4382901","Marcus Cushnie","UMass","FBS Independents","defensive","TFL","13.0"
"4373639","Atunaisa Mahe","BYU","FBS Independents","defensive","PD","0"
"4240636","Robert Burns","Connecticut","FBS Independents","defensive","TOT","5"
"4427716","Jack Kiser","Notre Dame","FBS Independents","defensive","TOT","53"
"4912168","Bryce Dixon","Liberty","FBS Independents","defensive","SACKS","0"
"4699550","Austin Henderson","Liberty","FBS Independents","receiving","TD","1"
"4685066","Noe Ruelas","Connecticut","FBS Independents","defensive","TD","0"
"4687456","Chris Jackson","BYU","FBS Independents","rushing","CAR","2"
"4373651","Payton Wilgar","BYU","FBS Independents","defensive","QB HUR","0"
"4426940","Kevens Clercius","Connecticut","FBS Independents","receiving","YPR","12.0"
"4569013","Jacob Flynn","Connecticut","FBS Independents","receiving","YDS","22"
"4428047","Jabari Moore","Army","FBS Independents","defensive","TOT","24"
"4427771","Lama Lavea","New Mexico State","FBS Independents","defensive","PD","1"
"-6872"," Team","New Mexico State","FBS Independents","passing","YPA","0.0"
"4367829","Jon Sot","Notre Dame","FBS Independents","punting","YDS","2151"
"5080702","Bruce Mitchell","BYU","FBS Independents","defensive","TD","0"
"5082138","Gavin Shields","Army","FBS Independents","defensive","TFL","0"
"4430049","Shedro Louis","Liberty","FBS Independents","defensive","PD","0"
"4572371","Josh Wallace","UMass","FBS Independents","fumbles","REC","1"
"4372762","DJ Brown","Notre Dame","FBS Independents","defensive","SACKS","0"
"4361485","Justin Segura","New Mexico State","FBS Independents","defensive","TD","0"
"4372374","X'Zauvea Gadlin","Liberty","FBS Independents","defensive","QB HUR","0"
"4872953","Thomaz Whitford","New Mexico State","FBS Independents","defensive","SACKS","0"
"4427030","Tanner Davis","UMass","FBS Independents","rushing","YPC","5.0"
"4362132","Jalon Ferrell","UMass","FBS Independents","defensive","QB HUR","0"
"4427095","Demario Douglas","Liberty","FBS Independents","defensive","TFL","0"
"4872953","Thomaz Whitford","New Mexico State","FBS Independents","rushing","LONG","0"
"4873234","Victor Rosa","Connecticut","FBS Independents","rushing","TD","11"
"5084176","Chris Bellamy","New Mexico State","FBS Independents","receiving","YPR","11.8"
"4361476","Xzavier Guyton","New Mexico State","FBS Independents","defensive","SACKS","0"
"4256073","Alden Tofa","BYU","FBS Independents","defensive","QB HUR","0"
"4751656","Amari Pouncy","New Mexico State","FBS Independents","defensive","SOLO","3"
"4429088","Drew Pyne","Notre Dame","FBS Independents","passing","INT","6"
"4426687","Johnathan Bennett","Liberty","FBS Independents","fumbles","LOST","3"
"4427125","Weston Eget","New Mexico State","FBS Independents","fumbles","REC","0"
"4689825","Tyrell Robinson","Army","FBS Independents","rushing","TD","1"
"4258200","O'Maury Samuels","New Mexico State","FBS Independents","rushing","TD","0"
"4708240","Jordan Mahoney","UMass","FBS Independents","interceptions","INT","3"
"4432308","Gerrell Johnson","UMass","FBS Independents","defensive","SOLO","29"
"4428727","George Udo","BYU","FBS Independents","defensive","SACKS","0"
"4428765","Masen Wake","BYU","FBS Independents","defensive","TD","0"
"4242373","Bentley Hanshaw","Liberty","FBS Independents","receiving","LONG","67"
"4372072","George Caratan","Connecticut","FBS Independents","punting","TB","1"
"4427095","Demario Douglas","Liberty","FBS Independents","puntReturns","YDS","74"
"4832806","Jonathan Brady","New Mexico State","FBS Independents","kickReturns","LONG","36"
"4571420","Isaac Ross","UMass","FBS Independents","rushing","TD","0"
"5084178","Jamoni Jones","New Mexico State","FBS Independents","receiving","YDS","71"
"4608774","Desmond Fogle","Connecticut","FBS Independents","defensive","TOT","4"
"-6872"," Team","New Mexico State","FBS Independents","defensive","PD","0"
"4685527","Jaylen Sneed","Notre Dame","FBS Independents","defensive","TD","0"
"5084176","Chris Bellamy","New Mexico State","FBS Independents","receiving","TD","0"
"4689826","Riley Tyson","Army","FBS Independents","receiving","YDS","2"
"4430090","Cletus Mathurin","UMass","FBS Independents","defensive","TD","0"
"4431606","Ahmonte Watkins","New Mexico State","FBS Independents","rushing","LONG","45"
"4372069","Sammy Faustin","UMass","FBS Independents","defensive","TFL","0"
"4602968","Nate Hampton","Liberty","FBS Independents","rushing","CAR","13"
"4259607","Cam Sullivan-Brown","UMass","FBS Independents","kickReturns","NO","1"
"4683466","Jamir Roberts","UMass","FBS Independents","receiving","LONG","45"
"4362753","Dominic Gicinto","New Mexico State","FBS Independents","receiving","REC","2"
"4577310","D'Andre Tobias","Army","FBS Independents","defensive","SACKS","0"
"5092202","Logan Pili","BYU","FBS Independents","defensive","SOLO","0"
"4872939","D.J. McCullough","New Mexico State","FBS Independents","defensive","SACKS","1"
"4816107","Benjamin Morrison","Notre Dame","FBS Independents","defensive","SOLO","21"
"4256066","Lorenzo Fauatea","BYU","FBS Independents","defensive","SACKS","2.5"
"4685066","Noe Ruelas","Connecticut","FBS Independents","defensive","TFL","0"
"4246895","Khaleb Coleman","Liberty","FBS Independents","receiving","LONG","22"
"4613037","Viczaril Alobwede","UMass","FBS Independents","defensive","SOLO","5"
"4427030","Tanner Davis","UMass","FBS Independents","defensive","TOT","31"
"4872939","D.J. McCullough","New Mexico State","FBS Independents","defensive","TOT","15"
"4426856","Malik Caper","Liberty","FBS Independents","receiving","REC","2"
"4426856","Malik Caper","Liberty","FBS Independents","rushing","TD","1"
"4689809","Ay'Juan Marshall","Army","FBS Independents","receiving","REC","6"
"4578350","Jaylon Jimmerson","Liberty","FBS Independents","defensive","QB HUR","0"
"4431287","Ethan Mottinger","UMass","FBS Independents","defensive","SOLO","1"
"4689805","Jackson Powell","Army","FBS Independents","defensive","TD","0"
"4409436","Morgan Pyper","BYU","FBS Independents","defensive","TD","0"
"4880107","BJ Sculark","New Mexico State","FBS Independents","defensive","TD","0"
"4431120","Micah Harper","BYU","FBS Independents","defensive","TOT","58"
"4879980","Damon Washington","Army","FBS Independents","defensive","QB HUR","0"
"4613059","Devontae Houston","Connecticut","FBS Independents","receiving","YDS","47"
"4569940","Ben Bywater","BYU","FBS Independents","defensive","PD","3"
"4689855","Isaiah Alston","Army","FBS Independents","receiving","REC","16"
"4577306","Marquel Broughton","Army","FBS Independents","defensive","TOT","75"
"4685016","Ellis Merriweather","UMass","FBS Independents","receiving","TD","0"
"4909541","Ty Harding","UMass","FBS Independents","receiving","REC","1"
"4917309","Gabe Peterson","New Mexico State","FBS Independents","defensive","SOLO","6"
"4566700","Brandon Niemenski","Connecticut","FBS Independents","receiving","REC","3"
"4428765","Masen Wake","BYU","FBS Independents","receiving","LONG","10"
"4685016","Ellis Merriweather","UMass","FBS Independents","rushing","CAR","150"
"4682989","Prince Kollie","Notre Dame","FBS Independents","puntReturns","NO","1"
"4578350","Jaylon Jimmerson","Liberty","FBS Independents","defensive","TFL","0"
"4256066","Lorenzo Fauatea","BYU","FBS Independents","defensive","TD","0"
"4427404","Cam Hart","Notre Dame","FBS Independents","defensive","SACKS","0"
"4430049","Shedro Louis","Liberty","FBS Independents","defensive","SOLO","0"
"4876328","Kobe Singleton","Liberty","FBS Independents","interceptions","TD","0"
