"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4261180","Joshua Woisin","New Mexico","Mountain West","defensive","QB HUR","0"
"4038219","Jeremiah Pritchard","Hawai'i","Mountain West","defensive","TOT","31"
"4374039","Isaiah Tufaga","Hawai'i","Mountain West","defensive","QB HUR","1"
"4696738","Dondi Fuller","UNLV","Mountain West","defensive","TOT","2"
"4261608","Andrew Aleki","San Diego State","Mountain West","defensive","QB HUR","1"
"4428594","Melquan Stovall","Nevada","Mountain West","receiving","TD","0"
"4036798","Kameron Toomer","Nevada","Mountain West","fumbles","FUM","0"
"4048690","Justus Te'i","Utah State","Mountain West","defensive","TD","0"
"3722357","Sam Whitney","Boise State","Mountain West","defensive","TD","0"
"4570086","Michael LoVett III","New Mexico","Mountain West","kickReturns","LONG","25"
"4695627","Troy Sicaeros","New Mexico","Mountain West","defensive","SACKS","0"
"4570091","Reco Hannah","New Mexico","Mountain West","defensive","TFL","0.5"
"4248845","Jared Reed","Utah State","Mountain West","defensive","TFL","1"
"4373934","Chevan Cordeiro","Hawai'i","Mountain West","passing","YPA","6.7"
"4241582","Austin Arnold","Nevada","Mountain West","defensive","TOT","6"
"4608520","Sam Olson","San José State","Mountain West","receiving","TD","1"
"4578142","Julian Diaz","Nevada","Mountain West","punting","YDS","1065"
"4374176","Tavis Malakius","UNLV","Mountain West","defensive","SOLO","7"
"4361686","Jevon Bigelow","Fresno State","Mountain West","rushing","YDS","45"
"4361002","Jackson Cravens","Boise State","Mountain West","defensive","TOT","10"
"4361704","Jackson Marcotte","Wyoming","Mountain West","receiving","YPR","12.0"
"4613122","Izzy Vaifo'ou","Utah State","Mountain West","defensive","SACKS","0"
"4048233","Nick Crabtree","Boise State","Mountain West","rushing","LONG","2"
"4431053","Mac Dalena","Fresno State","Mountain West","kicking","PTS","2"
"4361500","Rashad Scott","San Diego State","Mountain West","defensive","TOT","2"
"4430614","Noah Tumblin","San Diego State","Mountain West","defensive","PD","0"
"4361282","Dequan Jackson","Colorado State","Mountain West","defensive","QB HUR","1"
"4261602","Isaiah Richardson","San Diego State","Mountain West","defensive","TOT","1"
"4243004","Jordan Mims","Fresno State","Mountain West","rushing","LONG","84"
"4611311","Quinn Potts","New Mexico","Mountain West","defensive","PD","0"
"4037609","Dominic Benson","San Diego State","Mountain West","receiving","TD","0"
"4432431","Avery Morrow","Nevada","Mountain West","rushing","LONG","29"
"4693798","Koali Nishigaya","Hawai'i","Mountain West","rushing","CAR","1"
"4569984","Cash Gilliam","Utah State","Mountain West","defensive","PD","0"
"4373934","Chevan Cordeiro","Hawai'i","Mountain West","rushing","CAR","116"
"4373625","Demani Hansford","Air Force","Mountain West","defensive","SACKS","0"
"4427957","Ty McCullouch","Colorado State","Mountain West","receiving","LONG","8"
"4256051","Ryan Stonehouse","Colorado State","Mountain West","defensive","TOT","1"
"4256085","Miles Reed","Hawai'i","Mountain West","rushing","CAR","82"
"4685169","AJ King","Nevada","Mountain West","defensive","PD","3"
"4361456","Christopher Love","Nevada","Mountain West","defensive","SACKS","1"
"4256041","Emmanuel Jones","Colorado State","Mountain West","defensive","TD","0"
"4374141","Jordan Byrd","San Diego State","Mountain West","receiving","LONG","9"
"4374063","Patrick Peek","New Mexico","Mountain West","fumbles","LOST","0"
"4693791","Dae Dae Hunter","Hawai'i","Mountain West","defensive","TD","0"
"4379569","Jesse Matthews","San Diego State","Mountain West","receiving","YDS","326"
"4035225","Nick Starkel","San José State","Mountain West","rushing","LONG","6"
"4570243","Kairee Robinson","San José State","Mountain West","kickReturns","YDS","20"
"4361444","Toa Taua","Nevada","Mountain West","passing","YPA","2.0"
"4699789","Ubaldo Nolasco","San Diego State","Mountain West","defensive","TOT","1"
"4361281","Rashad Ajayi","Colorado State","Mountain West","rushing","YPC","-1.0"
"4360730","Nolan Laufenberg","Air Force","Mountain West","defensive","TFL","0"
"4610705","Nohl Williams","UNLV","Mountain West","interceptions","TD","0"
"4693813","Ben Brittain","Air Force","Mountain West","passing","COMPLETIONS","1"
"4693814","Haaziq Daniels","Air Force","Mountain West","fumbles","LOST","1"
"4261607","Kaegun Williams","San Diego State","Mountain West","fumbles","FUM","1"
"4385798","Matthew Murla","Air Force","Mountain West","rushing","YDS","112"
"4361534","Kyle Harmon","San José State","Mountain West","defensive","QB HUR","1"
"-6854"," Team","Nevada","Mountain West","rushing","TD","0"
"4256049","E.J. Scott","Colorado State","Mountain West","receiving","YDS","64"
"4693818","Will Trawick","Air Force","Mountain West","defensive","SOLO","7"
"4693812","Jordan Gidrey","Air Force","Mountain West","rushing","CAR","11"
"4578890","Jayden Goodwin","Air Force","Mountain West","defensive","PD","1"
"4613087","Jamaal Bell","Nevada","Mountain West","receiving","YDS","37"
"4261606","Darren Hall","San Diego State","Mountain West","defensive","TOT","37"
"4575457","Pailate Makakona","Utah State","Mountain West","kickReturns","YDS","0"
"4256041","Emmanuel Jones","Colorado State","Mountain West","defensive","SACKS","2"
"4578142","Julian Diaz","Nevada","Mountain West","defensive","TD","0"
"4569902","Blake Harrington","Wyoming","Mountain West","defensive","TD","0"
"4241605","Dom Peterson","Nevada","Mountain West","defensive","SACKS","4.5"
"4361159","Greg Bell","San Diego State","Mountain West","rushing","LONG","62"
"4570243","Kairee Robinson","San José State","Mountain West","receiving","YDS","156"
"4696736","Tanner Brown","UNLV","Mountain West","defensive","TFL","0"
"4056796","Sam Hammond","Nevada","Mountain West","defensive","QB HUR","1"
"4261606","Darren Hall","San Diego State","Mountain West","defensive","SOLO","30"
"4373669","Demitri Washington","Boise State","Mountain West","defensive","TD","0"
"4613000","Logan Taylor","Hawai'i","Mountain West","defensive","QB HUR","0"
"4569088","Brandon Talton","Nevada","Mountain West","kicking","FGA","18"
"4612994","Ray Leutele","New Mexico","Mountain West","defensive","TOT","11"
"4261617","Caden McDonald","San Diego State","Mountain West","defensive","SOLO","15"
"4039600","Kahi Neves","San Diego State","Mountain West","defensive","QB HUR","2"
"4361506","Andrew Alves","San Diego State","Mountain West","fumbles","FUM","0"
"4361287","A'Jon Vivens","Colorado State","Mountain West","rushing","CAR","46"
"4428890","Levi Williams","Wyoming","Mountain West","passing","ATT","119"
"4360715","Elisha Palm","Air Force","Mountain West","defensive","TFL","1.5"
"4242328","Tre Walker","San José State","Mountain West","fumbles","LOST","0"
"4362431","Justin Rogers","UNLV","Mountain West","passing","YDS","161"
"4242474","Eugene Ford","Hawai'i","Mountain West","interceptions","YDS","0"
"4361307","Trey McBride","Colorado State","Mountain West","receiving","REC","21"
"4613062","Cameron Lockridge","Hawai'i","Mountain West","interceptions","INT","1"
"4570218","Jonah Panoke","Hawai'i","Mountain West","rushing","LONG","2"
"4571645","Corvan Taylor","Air Force","Mountain West","defensive","TOT","29"
"4361506","Andrew Alves","San Diego State","Mountain West","defensive","QB HUR","0"
"4612402","Ian Shewell","New Mexico","Mountain West","fumbles","REC","1"
"4427161","Naki Fahina","UNLV","Mountain West","defensive","QB HUR","0"
"-8086"," Team","Wyoming","Mountain West","punting","NO","1"
"4374063","Patrick Peek","New Mexico","Mountain West","interceptions","TD","0"
"4242312","Hadari Darden","San José State","Mountain West","defensive","SACKS","0"
"4261603","Tariq Thompson","San Diego State","Mountain West","interceptions","AVG","5.0"
"4428890","Levi Williams","Wyoming","Mountain West","fumbles","REC","0"
"4361507","Jalil Lecky","San Diego State","Mountain West","defensive","SACKS","1.5"
"4261610","Ethan Dedeaux","San Diego State","Mountain West","rushing","LONG","0"
"4428836","Kyron White","San Diego State","Mountain West","defensive","TOT","3"
"4361498","Cedarious Barfield","San Diego State","Mountain West","defensive","TOT","13"
"4373671","Garrett Curran","Boise State","Mountain West","rushing","CAR","1"
"4361544","Nehemiah Shelton","San José State","Mountain West","fumbles","REC","1"
"4597527","Poukesi Vakauta","Utah State","Mountain West","defensive","SOLO","0"
"4433821","John Gentry","Utah State","Mountain West","receiving","TD","0"
"4379569","Jesse Matthews","San Diego State","Mountain West","puntReturns","YDS","113"
"4433821","John Gentry","Utah State","Mountain West","receiving","REC","1"
"4574857","Nels Haltom","Utah State","Mountain West","kicking","XPM","1"
"4570217","James Phillips","Hawai'i","Mountain West","defensive","QB HUR","0"
"4373895","Ben Wooldridge","Fresno State","Mountain West","passing","PCT","0.500"
"4696732","Jeremiah Houston","UNLV","Mountain West","defensive","TOT","1"
"4385798","Matthew Murla","Air Force","Mountain West","rushing","CAR","23"
"4697234","CJ McNeal","Air Force","Mountain West","rushing","LONG","19"
"4427161","Naki Fahina","UNLV","Mountain West","defensive","TD","0"
"4256035","Christian Cumber","Colorado State","Mountain West","defensive","TD","0"
"4685176","Micah Lilo","Nevada","Mountain West","defensive","PD","0"
"4036798","Kameron Toomer","Nevada","Mountain West","defensive","SOLO","19"
"4361444","Toa Taua","Nevada","Mountain West","kickReturns","LONG","27"
"4260452","CT Thomas","Boise State","Mountain West","kickReturns","LONG","4"
"4260445","Kekaula Kaniho","Boise State","Mountain West","fumbles","LOST","1"
"4373934","Chevan Cordeiro","Hawai'i","Mountain West","passing","ATT","312"
"4693809","John Tuitupou","Hawai'i","Mountain West","defensive","PD","0"
"4430048","Isaac Jernigan","Nevada","Mountain West","receiving","YPR","4.0"
"4580608","Kyle Patterson","Air Force","Mountain West","receiving","LONG","39"
"4374170","Bryce Jackson","UNLV","Mountain West","fumbles","LOST","0"
"4048686","Kevin Meitzenheimer","Utah State","Mountain West","defensive","TD","0"
"4570243","Kairee Robinson","San José State","Mountain West","fumbles","FUM","1"
"4575715","Jacob Gasser","UNLV","Mountain West","defensive","PD","0"
"4361441","Jack Powers","Nevada","Mountain West","defensive","TOT","2"
"4373895","Ben Wooldridge","Fresno State","Mountain West","rushing","TD","0"
"-7281"," Team","San José State","Mountain West","punting","NO","1"
"4500229","Christian Swint","Nevada","Mountain West","defensive","TOT","24"
