"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4689194","Jack Reynolds","Charlotte","Conference USA","receiving","REC","3"
"4869991","Caden Veltkamp","Western Kentucky","Conference USA","passing","YDS","25"
"4432223","Tyler Grubbs","Louisiana Tech","Conference USA","defensive","SOLO","24"
"5082028","Will Prendergast","Florida International","Conference USA","defensive","TFL","0.5"
"4613220","Davis Burns","UTEP","Conference USA","defensive","SACKS","0"
"5082015","Carter Davis","Florida Atlantic","Conference USA","kicking","XPM","7"
"4690134","Makai Sawtelle","Florida Atlantic","Conference USA","defensive","SACKS","0"
"4683983","Shawqui Itraish","Rice","Conference USA","passing","TD","0"
"4427351","Grant Gunnell","North Texas","Conference USA","rushing","LONG","0"
"4879650","Grant DuBose","Charlotte","Conference USA","passing","YPA","0.0"
"4570161","Michael Kelly","Charlotte","Conference USA","defensive","TD","0"
"5082269","Dean Connors","Rice","Conference USA","fumbles","LOST","0"
"4428917","Rashad Wisdom","UT San Antonio","Conference USA","defensive","QB HUR","0"
"5088818","Chris Cayton","North Texas","Conference USA","kicking","XPA","3"
"4239788","Kyle Harrell","UAB","Conference USA","defensive","TFL","4.5"
"4686657","Fatafehi Vailea","North Texas","Conference USA","defensive","TFL","0.5"
"5082269","Dean Connors","Rice","Conference USA","fumbles","REC","0"
"4688595","Kevorian Barnes","UT San Antonio","Conference USA","rushing","LONG","53"
"4569213","Kevin Wood","North Texas","Conference USA","defensive","TD","0"
"4360632","Teja Young","Florida Atlantic","Conference USA","defensive","TFL","0"
"4362065","Tristin Tuialuuluu","UTEP","Conference USA","fumbles","FUM","0"
"4259268","Victor Tucker","Charlotte","Conference USA","puntReturns","YDS","18"
"4431092","Kershawn Fisher","Louisiana Tech","Conference USA","defensive","TFL","6.0"
"4430166","Josiah Miamen","Florida International","Conference USA","receiving","LONG","21"
"5082038","Phillip Houston","Florida International","Conference USA","defensive","PD","0"
"4430100","Larry McCammon III","Florida Atlantic","Conference USA","rushing","TD","7"
"4880818","Matthew McCallister","Louisiana Tech","Conference USA","defensive","TOT","2"
"4433917","Wilile Taggart Jr.","Florida Atlantic","Conference USA","passing","COMPLETIONS","2"
"4693396","Harold West","North Texas","Conference USA","defensive","TFL","0"
"4362535","Treshawn Chamberlain","Rice","Conference USA","interceptions","AVG","6.0"
"4374267","Shaun Peterson Jr.","Florida International","Conference USA","defensive","SACKS","6"
"4430315","Julius Pierce","Florida International","Conference USA","defensive","TOT","2"
"4683886","Jahmal Edrine","Florida Atlantic","Conference USA","fumbles","LOST","0"
"4686562","Christian Lee","North Texas","Conference USA","kickReturns","NO","3"
"4431407","Deidrick Stanley II","Middle Tennessee","Conference USA","defensive","TD","0"
"4891852","Jordan Smart","North Texas","Conference USA","defensive","QB HUR","0"
"4609242","Isaiah Davis","UT San Antonio","Conference USA","receiving","REC","1"
"4613157","Jake Clemons","Charlotte","Conference USA","fumbles","REC","0"
"4427351","Grant Gunnell","North Texas","Conference USA","defensive","SACKS","0"
"4262016","Yusuf Ali","Middle Tennessee","Conference USA","defensive","SOLO","6"
"4689650","Trea Shropshire","UAB","Conference USA","defensive","TFL","0"
"4608791","Dennis Barnes","UTEP","Conference USA","defensive","PD","6"
"4430388","DeWayne McBride","UAB","Conference USA","fumbles","REC","0"
"4362528","Wiley Green","Rice","Conference USA","rushing","LONG","2"
"4432495","Jamal Potts","Florida International","Conference USA","defensive","SACKS","1"
"4602667","Jaylin Lane","Middle Tennessee","Conference USA","rushing","YPC","1.3"
"-14550"," Team","Florida International","Conference USA","defensive","QB HUR","0"
"4363054","Gunner Britton","Western Kentucky","Conference USA","receiving","YPR","12.0"
"4430388","DeWayne McBride","UAB","Conference USA","rushing","YPC","7.3"
"4689870","Joshua Sloan","UTEP","Conference USA","punting","YPP","43.3"
"4570116","Luke Percer","UAB","Conference USA","puntReturns","AVG","14.0"
"4869581","Braylen Walker","Rice","Conference USA","receiving","YPR","19.3"
"4875805","Deonte Stanley","Middle Tennessee","Conference USA","interceptions","TD","0"
"4430100","Larry McCammon III","Florida Atlantic","Conference USA","defensive","SOLO","3"
"4605653","Avarius Sparrow","Middle Tennessee","Conference USA","receiving","TD","0"
"4575667","Deion Hankins","UTEP","Conference USA","defensive","QB HUR","0"
"4430270","Jay Maclin","North Texas","Conference USA","defensive","TD","0"
"4685891","Amari Wansley","Florida Atlantic","Conference USA","defensive","TFL","1"
"4570169","Kendric Blake","Charlotte","Conference USA","defensive","PD","0"
"4710761","Bailey Rice","Charlotte","Conference USA","passing","YPA","21.0"
"5082301","Latrez Shelton","UTEP","Conference USA","defensive","TD","0"
"4426893","Joshua Cephus","UT San Antonio","Conference USA","passing","YDS","12"
"4360616","Tre Jackson","Florida Atlantic","Conference USA","defensive","SOLO","0"
"4587299","Marquallius Turner","Louisiana Tech","Conference USA","defensive","SOLO","11"
"4244862","George Nyakwol","Rice","Conference USA","fumbles","FUM","0"
"4710865","Jakobe Thomas","Middle Tennessee","Conference USA","defensive","TD","1"
"4239691","Griffin Hebert","Louisiana Tech","Conference USA","defensive","PD","0"
"4693395","Peyton Stevenson","Rice","Conference USA","defensive","TD","0"
"4239691","Griffin Hebert","Louisiana Tech","Conference USA","receiving","YPR","18.7"
"4686606","Isaiah Johnson","North Texas","Conference USA","receiving","YPR","5.5"
"4428197","Quinton Patten","Charlotte","Conference USA","receiving","LONG","22"
"4363410","Dylan Hopkins","UAB","Conference USA","passing","YDS","1920"
"4612882","Xavier Spencer","UT San Antonio","Conference USA","defensive","TOT","5"
"4875613","Dean Patterson","Florida International","Conference USA","fumbles","REC","0"
"4428680","Marquel Tinsley","Middle Tennessee","Conference USA","receiving","LONG","10"
"4432223","Tyler Grubbs","Louisiana Tech","Conference USA","defensive","SACKS","0.5"
"4428527","Dalvin Smith","Western Kentucky","Conference USA","receiving","REC","35"
"4249970","Preston Rice","Middle Tennessee","Conference USA","rushing","YPC","1.2"
"4691984","Morgan Suarez","Florida Atlantic","Conference USA","kicking","XPM","38"
"4688757","Tyson Thompson","Rice","Conference USA","defensive","SACKS","0"
"4879650","Grant DuBose","Charlotte","Conference USA","puntReturns","NO","9"
"4433937","Plae Wyatt","Rice","Conference USA","defensive","TD","0"
"4605863","Aaron Key","Western Kentucky","Conference USA","fumbles","LOST","0"
"4393324","Isaiah Esdale","Rice","Conference USA","receiving","TD","2"
"4430315","Julius Pierce","Florida International","Conference USA","defensive","SACKS","0"
"4875612","Ross Fournet","Florida International","Conference USA","rushing","LONG","9"
"4875687","Tyrin Smith","UTEP","Conference USA","fumbles","LOST","1"
"4689656","Reese Burkhardt","UAB","Conference USA","kicking","FGA","0"
"5082007","Tyrell Jones","Florida Atlantic","Conference USA","defensive","TD","0"
"4360616","Tre Jackson","Florida Atlantic","Conference USA","fumbles","LOST","0"
"4374359","Nikia Eason Jr.","UAB","Conference USA","defensive","TFL","5"
"5092789","Zion Nason","Louisiana Tech","Conference USA","defensive","TOT","9"
"4373706","Markees Watts","Charlotte","Conference USA","defensive","TOT","41"
