"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2023","4689114","Jaxson Dart","QB","Ole Miss","SEC","0.5058","0.9133","0.1688","0.4101","0.56","0.65","0.413","0.693"
"2023","4432734","Jalen Milroe","QB","Alabama","SEC","0.4955","0.8747","0.2259","0.4242","0.478","0.672","0.429","0.648"
"2023","4714771","Drew Allar","QB","Penn State","Big Ten","0.4947","0.9412","0.1155","0.3826","0.522","0.657","0.471","0.694"
"2023","4430841","Carson Beck","QB","Georgia","SEC","0.4937","0.9109","0.1029","0.4384","0.481","0.675","0.408","0.674"
"2023","4597499","Mikey Keene","QB","Fresno State","Mountain West","0.4931","0.797","0.0326","0.4617","0.462","0.604","0.469","0.548"
"2023","4597247","Austin Smith","QB","Eastern Michigan","Mid-American","0.491","0.8221","0.1918","0.4198","0.539","0.551","0.426","0.61"
"2023","4567461","Alex Flinn","QB","East Carolina","American Athletic","0.4881","0.7531","0.1954","0.4534","0.424","0.61","0.363","0.592"
"2023","5080403","Jaylen Raynor","QB","Arkansas State","Sun Belt","0.4792","0.7487","0.2375","0.4129","0.512","0.576","0.495","0.561"
"2023","4427191","Dequan Finn","QB","Toledo","Mid-American","0.4791","0.8167","0.2382","0.3666","0.488","0.7","0.495","0.616"
"2023","4709012","Jase Bauer","QB","Central Michigan","Mid-American","0.4766","0.7865","0.2339","0.4324","0.47","0.57","0.425","0.564"
"2023","4370775","Brennan Armstrong","QB","NC State","ACC","0.4731","0.6865","0.284","0.4248","0.475","0.57","0.508","0.515"
"2023","4430590","Payton Thorne","QB","Auburn","SEC","0.4728","0.8401","0.2143","0.4194","0.467","0.61","0.399","0.594"
"2023","4427313","Ta'Quan Roberson","QB","Connecticut","FBS Independents","0.4711","0.847","0.0981","0.4128","0.43","0.638","0.3","0.636"
"2023","4241965","Rocky Lombardi","QB","Northern Illinois","Mid-American","0.4688","0.9016","0.1194","0.3715","0.476","0.655","0.447","0.616"
"2023","4429020","D.J. Uiagalelei","QB","Oregon State","Pac-12","0.462","0.8159","0.1384","0.4104","0.407","0.635","0.403","0.584"
"2023","4427238","Dillon Gabriel","QB","Oklahoma","Big 12","0.4583","0.7875","0.1501","0.4429","0.403","0.572","0.372","0.559"
"2023","4360698","Joe Milton","QB","Tennessee","SEC","0.4581","0.8188","0.1328","0.4346","0.416","0.585","0.362","0.569"
"2023","4432803","Kaidon Salter","QB","Liberty","Conference USA","0.4569","0.9311","0.2352","0.3844","0.46","0.654","0.412","0.65"
"2023","4429955","Will Howard","QB","Kansas State","Big 12","0.4555","0.8447","0.127","0.413","0.424","0.58","0.445","0.52"
"2023","4433971","Kyle McCord","QB","Ohio State","Big Ten","0.4521","0.8652","0.0485","0.3673","0.461","0.629","0.412","0.622"
"2023","4879928","Bryson Daily","QB","Army","FBS Independents","0.4463","0.7267","0.373","0.3612","0.448","0.592","0.469","0.541"
"2023","4570259","Daniel Richardson","QB","Florida Atlantic","American Athletic","0.4453","0.7733","0.0536","0.3704","0.423","0.61","0.39","0.564"
"2023","4360799","Jordan Travis","QB","Florida State","ACC","0.4448","0.7406","0.1399","0.3716","0.449","0.591","0.447","0.544"
"2023","4432722","Athan Kaliakmanis","QB","Minnesota","Big Ten","0.44","0.9325","0.1088","0.3722","0.38","0.661","0.376","0.595"
