Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
2023,4594336,Miles Capers,DB,Vanderbilt,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,3.0,,0.0,0.0,3.0,,,,,,,,East,0.9,12,2,10,0,8,0,8,0,7,1,6,0,5,1,4,0,211,19,30,5,3,12,0,74,14,0,324,24,2272,408,226,13,13,66,508,22239,0,45,8,423,8,1482,9,51,60,188,3754,19,,No
2023,4594449,DeVonta Smith,DB,Alabama,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,2.0,,,,,,,,West,11.0,15,13,2,0,9,8,1,0,7,7,0,0,4,3,1,0,367,9,17,6,6,15,2,189,7,2,480,20,5073,571,380,15,48,107,990,29142,2,260,33,548,21,2250,57,119,117,225,7323,13,,No
2023,4595344,Terion Sugick,DL,Vanderbilt,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,1.0,2.0,,,,,,,,East,0.9,12,2,10,0,8,0,8,0,7,1,6,0,5,1,4,0,211,19,30,5,3,12,0,74,14,0,324,24,2272,408,226,13,13,66,508,22239,0,45,8,423,8,1482,9,51,60,188,3754,19,3.0,Yes
2023,4595348,Malik Nabers,WR,LSU,Big Ten,0.0456,0.0771,0.01,0.0385,0.043,0.065,0.024,0.071,,,4.0,,,,,,,80.0,,,,0.0,,0.0,28.0,0.0,2.0,,4.0,0.0,2.0,,,440.0,,5.8,,14.9,West,7.2,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0,252,20,32,5,6,13,1,142,11,0,216,13,3308,443,262,8,32,56,446,23099,0,117,22,445,9,1482,38,98,71,192,4790,16,,No
2023,4596346,Jordan Dingle,TE,Kentucky,Big Ten,0.0023,0.0052,0.0,0.0024,0.0,0.007,0.0,0.004,,,,,,,,,,31.0,,,,,,,2.0,,,,0.0,,,,,54.0,,,,27.0,East,8.5,13,10,3,0,8,5,3,0,7,6,1,0,5,3,2,0,296,6,16,10,3,13,3,188,13,0,301,22,2933,366,242,9,24,63,548,25425,1,165,16,496,27,2594,29,79,76,151,5527,23,,No
2023,4596362,Justus Boone,DE,Florida,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.5,1.0,,0.0,1.5,3.0,,,,,,,,East,8.3,13,6,7,0,8,2,6,0,6,5,1,0,5,1,4,0,291,14,26,3,4,13,0,43,18,0,413,26,3304,416,265,9,27,104,918,23790,0,176,25,495,26,2714,36,81,72,174,6018,21,,No
2023,4596437,AJ Green,RB,Arkansas,Big Ten,0.0663,0.0352,0.0859,0.0657,0.069,0.07,0.052,0.076,,16.3,47.0,,,,3.0,,,109.0,0.0,9.0,,0.0,,0.0,7.0,0.0,0.0,,2.0,0.0,1.0,,,458.0,,4.8,,12.0,West,9.2,13,9,4,0,8,4,4,0,7,6,1,0,4,1,3,0,284,12,19,6,6,13,0,97,5,0,310,20,2781,314,205,13,22,103,820,23010,1,264,25,588,26,2961,24,79,64,173,5742,11,,No
2023,4596438,Deuce Harmon,DB,Texas A&M,Big Ten,,,,,,,,,,0.0,,,,,,1.0,,,,,,1.0,,0.0,,0.0,8.0,,0.0,1.5,19.0,,,0.0,,,,,West,9.0,12,8,4,0,8,4,4,0,7,6,1,0,3,1,2,0,251,6,10,3,5,12,1,115,13,1,336,13,2503,370,208,10,19,76,656,21740,1,320,30,418,17,2196,39,89,58,155,4699,16,,No
2023,4596439,Dominic Lovett,WR,Missouri,Big Ten,0.0337,0.0558,0.01,0.0276,0.036,0.04,0.028,0.045,,,4.0,,,,1.0,,,47.0,0.0,,,0.0,,0.0,26.0,0.0,1.0,,1.0,0.0,1.0,,,213.0,,10.0,,6.7,East,3.9,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0,282,11,19,2,5,13,1,91,11,1,621,34,3036,455,301,11,19,83,770,23636,0,69,14,464,22,2342,29,83,84,190,5378,13,,No
2023,4596539,Yulkeith Brown,WR,Texas A&M,Big Ten,0.0051,0.0052,0.0051,0.0082,0.0,0.006,0.0,0.004,,21.0,2.0,,,,,,,66.0,,1.0,,,,,,,,,0.0,,,,,73.0,,26.0,,,West,9.0,12,8,4,0,8,4,4,0,7,6,1,0,3,1,2,0,251,6,10,3,5,12,1,115,13,1,336,13,2503,370,208,10,19,76,656,21740,1,320,30,418,17,2196,39,89,58,155,4699,16,,No
