"Season","Team","Conference","StatName","StatValue"
"2021","TCU","Big 12","kickReturnYards","804"
"2021","Oklahoma State","Big 12","kickReturns","22"
"2021","Texas","Big 12","kickReturnTDs","0"
"2021","TCU","Big 12","interceptions","6"
"2021","Texas","Big 12","firstDowns","244"
"2021","Kansas State","Big 12","fourthDownConversions","15"
"2021","Kansas","Big 12","sacks","16"
"2021","Oklahoma","Big 12","thirdDowns","148"
"2021","Baylor","Big 12","interceptions","7"
"2021","Kansas State","Big 12","puntReturns","12"
"2021","Iowa State","Big 12","puntReturns","17"
"2021","West Virginia","Big 12","thirdDowns","186"
"2021","Texas Tech","Big 12","fourthDownConversions","14"
"2021","Kansas State","Big 12","tacklesForLoss","90"
"2021","Iowa State","Big 12","tacklesForLoss","85"
"2021","Oklahoma","Big 12","kickReturns","13"
"2021","Oklahoma","Big 12","kickReturnTDs","0"
"2021","Texas","Big 12","fumblesLost","7"
"2021","Oklahoma","Big 12","penaltyYards","733"
"2021","Iowa State","Big 12","puntReturnTDs","0"
"2021","West Virginia","Big 12","passingTDs","19"
"2021","Texas Tech","Big 12","puntReturns","22"
"2021","Baylor","Big 12","kickReturns","30"
"2021","Texas Tech","Big 12","rushingYards","2068"
"2021","Kansas State","Big 12","netPassingYards","2599"
"2021","Kansas State","Big 12","games","13"
"2021","Oklahoma","Big 12","interceptionTDs","0"
"2021","Iowa State","Big 12","passingTDs","22"
"2021","Kansas State","Big 12","passingTDs","14"
"2021","Oklahoma State","Big 12","passAttempts","447"
"2021","Texas","Big 12","rushingTDs","25"
"2021","Oklahoma State","Big 12","sacks","57"
"2021","Baylor","Big 12","penalties","75"
"2021","West Virginia","Big 12","kickReturns","29"
"2021","Kansas","Big 12","games","12"
"2021","Iowa State","Big 12","kickReturns","22"
"2021","TCU","Big 12","totalYards","5168"
"2021","Iowa State","Big 12","thirdDownConversions","60"
"2021","Iowa State","Big 12","kickReturnTDs","0"
"2021","Iowa State","Big 12","fourthDowns","23"
"2021","Kansas","Big 12","passingTDs","15"
"2021","Kansas State","Big 12","passesIntercepted","11"
"2021","Iowa State","Big 12","possessionTime","24110"
"2021","Oklahoma State","Big 12","interceptions","13"
"2021","Texas","Big 12","interceptions","10"
"2021","Oklahoma State","Big 12","possessionTime","25941"
"2021","West Virginia","Big 12","kickReturnTDs","1"
"2021","Oklahoma","Big 12","tacklesForLoss","97"
"2021","Kansas State","Big 12","kickReturnTDs","2"
"2021","Kansas","Big 12","thirdDownConversions","59"
"2021","Texas Tech","Big 12","totalYards","5412"
"2021","West Virginia","Big 12","passCompletions","290"
"2021","Oklahoma","Big 12","passCompletions","279"
"2021","Oklahoma","Big 12","possessionTime","22892"
"2021","Iowa State","Big 12","interceptions","9"
"2021","Texas Tech","Big 12","fumblesRecovered","5"
"2021","Baylor","Big 12","firstDowns","290"
"2021","West Virginia","Big 12","puntReturnTDs","0"
"2021","Kansas State","Big 12","kickReturnYards","735"
"2021","Texas","Big 12","games","12"
"2021","West Virginia","Big 12","interceptions","12"
"2021","Texas","Big 12","sacks","20"
"2021","Oklahoma","Big 12","puntReturnYards","69"
"2021","Texas","Big 12","thirdDowns","160"
"2021","Texas","Big 12","puntReturns","17"
"2021","TCU","Big 12","fourthDownConversions","7"
"2021","Baylor","Big 12","interceptionTDs","2"
"2021","Iowa State","Big 12","rushingYards","2089"
"2021","Oklahoma State","Big 12","fumblesLost","7"
"2021","Baylor","Big 12","penaltyYards","677"
