"Season","Team","Conference","StatName","StatValue"
"2023","Virginia","ACC","games","12"
"2023","Boston College","ACC","kickReturns","20"
"2023","Louisville","ACC","passCompletions","266"
"2023","NC State","ACC","puntReturnYards","171"
"2023","Virginia Tech","ACC","totalYards","5088"
"2023","NC State","ACC","penalties","75"
"2023","Virginia Tech","ACC","fourthDowns","26"
"2023","Florida State","ACC","interceptionYards","53"
"2023","Pittsburgh","ACC","games","12"
"2023","Virginia","ACC","kickReturnTDs","0"
"2023","Georgia Tech","ACC","rushingTDs","24"
"2023","North Carolina","ACC","sacks","28"
"2023","North Carolina","ACC","thirdDownConversions","92"
"2023","Wake Forest","ACC","netPassingYards","2352"
"2023","North Carolina","ACC","thirdDowns","189"
"2023","Virginia Tech","ACC","tacklesForLoss","89"
"2023","Clemson","ACC","tacklesForLoss","90"
"2023","NC State","ACC","totalYards","4555"
"2023","Virginia Tech","ACC","games","13"
"2023","North Carolina","ACC","puntReturns","9"
"2023","Syracuse","ACC","kickReturnTDs","0"
"2023","Syracuse","ACC","tacklesForLoss","78"
"2023","Georgia Tech","ACC","passesIntercepted","15"
"2023","Wake Forest","ACC","kickReturns","23"
"2023","North Carolina","ACC","interceptionYards","64"
"2023","Syracuse","ACC","games","13"
"2023","Florida State","ACC","fumblesRecovered","7"
"2023","Virginia","ACC","netPassingYards","3010"
"2023","Clemson","ACC","rushingTDs","24"
"2023","NC State","ACC","rushingAttempts","478"
"2023","Florida State","ACC","kickReturnTDs","1"
"2023","Duke","ACC","passAttempts","357"
"2023","Georgia Tech","ACC","thirdDownConversions","72"
"2023","Louisville","ACC","firstDowns","292"
"2023","Pittsburgh","ACC","fumblesRecovered","6"
"2023","Syracuse","ACC","fourthDowns","20"
"2023","Wake Forest","ACC","rushingAttempts","468"
"2023","Virginia","ACC","fourthDowns","20"
"2023","North Carolina","ACC","tacklesForLoss","73"
"2023","Clemson","ACC","puntReturnTDs","0"
"2023","Syracuse","ACC","interceptionYards","215"
"2023","Pittsburgh","ACC","rushingAttempts","356"
"2023","Wake Forest","ACC","passCompletions","192"
"2023","Georgia Tech","ACC","fourthDownConversions","12"
"2023","Virginia","ACC","penaltyYards","663"
"2023","Virginia Tech","ACC","possessionTime","24306"
"2023","Virginia Tech","ACC","rushingTDs","20"
"2023","Miami","ACC","passesIntercepted","12"
"2023","Clemson","ACC","fourthDowns","27"
"2023","Clemson","ACC","rushingAttempts","524"
"2023","Clemson","ACC","passAttempts","474"
"2023","Syracuse","ACC","puntReturns","27"
"2023","NC State","ACC","netPassingYards","2519"
"2023","Duke","ACC","puntReturnYards","149"
"2023","Virginia","ACC","kickReturns","20"
"2023","North Carolina","ACC","possessionTime","22320"
"2023","Pittsburgh","ACC","fourthDowns","20"
"2023","Virginia Tech","ACC","thirdDownConversions","61"
"2023","Georgia Tech","ACC","puntReturnTDs","0"
"2023","Clemson","ACC","firstDowns","300"
"2023","Miami","ACC","puntReturnTDs","0"
"2023","Miami","ACC","rushingTDs","24"
"2023","Virginia","ACC","tacklesForLoss","57"
"2023","NC State","ACC","interceptionYards","178"
"2023","Miami","ACC","puntReturns","12"
"2023","Clemson","ACC","games","13"
"2023","Georgia Tech","ACC","passCompletions","231"
"2023","Florida State","ACC","netPassingYards","3508"
"2023","Duke","ACC","rushingYards","2168"
"2023","Clemson","ACC","turnovers","22"
"2023","Duke","ACC","fumblesRecovered","5"
"2023","Boston College","ACC","kickReturnYards","311"
"2023","Clemson","ACC","thirdDownConversions","79"
"2023","Louisville","ACC","games","14"
"2023","Florida State","ACC","possessionTime","24689"
"2023","North Carolina","ACC","kickReturns","14"
"2023","Miami","ACC","turnovers","22"
"2023","Syracuse","ACC","rushingYards","2230"
"2023","Virginia Tech","ACC","interceptions","5"
"2023","Pittsburgh","ACC","passesIntercepted","10"
"2023","Louisville","ACC","penaltyYards","681"
"2023","Virginia Tech","ACC","thirdDowns","175"
"2023","NC State","ACC","passesIntercepted","17"
"2023","Miami","ACC","netPassingYards","3354"
"2023","Georgia Tech","ACC","interceptions","17"
"2023","Syracuse","ACC","rushingAttempts","530"
"2023","Georgia Tech","ACC","interceptionYards","167"
"2023","Syracuse","ACC","penaltyYards","801"
"2023","Boston College","ACC","games","13"
"2023","Virginia Tech","ACC","puntReturns","27"
"2023","Wake Forest","ACC","passAttempts","321"
"2023","Miami","ACC","rushingYards","2251"
"2023","Louisville","ACC","puntReturnYards","132"
