"Season","Team","Conference","StatName","StatValue"
"2022","Baylor","Big 12","rushingYards","2371"
"2022","TCU","Big 12","thirdDowns","201"
"2022","Kansas","Big 12","rushingYards","2386"
"2022","Kansas","Big 12","turnovers","19"
"2022","Texas Tech","Big 12","games","13"
"2022","Iowa State","Big 12","interceptionYards","84"
"2022","West Virginia","Big 12","passesIntercepted","4"
"2022","Texas Tech","Big 12","rushingAttempts","525"
"2022","Oklahoma","Big 12","rushingYards","2859"
"2022","Oklahoma State","Big 12","puntReturnYards","147"
"2022","Kansas","Big 12","kickReturns","24"
"2022","Iowa State","Big 12","firstDowns","245"
"2022","Texas Tech","Big 12","firstDowns","345"
"2022","Baylor","Big 12","sacks","24"
"2022","Iowa State","Big 12","fourthDowns","27"
"2022","Kansas","Big 12","fourthDownConversions","9"
"2022","TCU","Big 12","fumblesRecovered","7"
"2022","Texas Tech","Big 12","puntReturns","17"
"2022","Oklahoma State","Big 12","fumblesRecovered","6"
"2022","Texas","Big 12","fourthDowns","22"
"2022","Iowa State","Big 12","passingTDs","19"
"2022","TCU","Big 12","puntReturnYards","301"
"2022","Baylor","Big 12","puntReturnTDs","1"
"2022","Texas","Big 12","puntReturnTDs","1"
"2022","West Virginia","Big 12","fumblesRecovered","11"
"2022","Oklahoma State","Big 12","fourthDowns","16"
"2022","West Virginia","Big 12","passAttempts","426"
"2022","Oklahoma State","Big 12","games","13"
"2022","Oklahoma State","Big 12","totalYards","5267"
"2022","Kansas","Big 12","possessionTime","22494"
"2022","Kansas","Big 12","penalties","69"
"2022","Texas","Big 12","rushingYards","2444"
"2022","Baylor","Big 12","kickReturnYards","596"
"2022","Iowa State","Big 12","penalties","67"
"2022","Kansas State","Big 12","interceptionYards","101"
"2022","Texas","Big 12","rushingAttempts","470"
"2022","West Virginia","Big 12","kickReturnTDs","0"
"2022","Texas Tech","Big 12","interceptions","18"
"2022","Iowa State","Big 12","puntReturnTDs","0"
"2022","Kansas","Big 12","fourthDowns","19"
"2022","West Virginia","Big 12","firstDowns","276"
"2022","Baylor","Big 12","netPassingYards","3009"
"2022","West Virginia","Big 12","kickReturnYards","444"
"2022","Kansas State","Big 12","rushingTDs","32"
"2022","West Virginia","Big 12","thirdDowns","178"
"2022","Kansas","Big 12","fumblesRecovered","11"
"2022","TCU","Big 12","thirdDownConversions","80"
"2022","Kansas","Big 12","thirdDownConversions","80"
"2022","Texas","Big 12","fumblesLost","7"
"2022","Kansas State","Big 12","rushingYards","2916"
"2022","Oklahoma","Big 12","tacklesForLoss","101"
"2022","Oklahoma State","Big 12","interceptions","18"
"2022","Baylor","Big 12","fourthDowns","47"
"2022","Oklahoma","Big 12","sacks","28"
"2022","Kansas","Big 12","passCompletions","242"
"2022","Iowa State","Big 12","games","12"
"2022","Texas","Big 12","interceptionYards","167"
"2022","Texas","Big 12","tacklesForLoss","87"
"2022","Texas","Big 12","penaltyYards","615"
"2022","Kansas","Big 12","puntReturnTDs","0"
"2022","TCU","Big 12","puntReturnTDs","2"
"2022","Iowa State","Big 12","kickReturnYards","348"
"2022","Oklahoma State","Big 12","rushingAttempts","476"
"2022","Oklahoma","Big 12","puntReturnYards","169"
"2022","Baylor","Big 12","kickReturnTDs","0"
"2022","Oklahoma State","Big 12","penaltyYards","436"
"2022","Iowa State","Big 12","fourthDownConversions","15"
"2022","Baylor","Big 12","passCompletions","247"
"2022","Kansas State","Big 12","kickReturnYards","804"
"2022","TCU","Big 12","passAttempts","454"
"2022","TCU","Big 12","kickReturnYards","907"
"2022","Oklahoma State","Big 12","passAttempts","524"
"2022","Baylor","Big 12","firstDowns","295"
"2022","Oklahoma","Big 12","firstDowns","309"
"2022","Iowa State","Big 12","puntReturns","13"
"2022","TCU","Big 12","games","15"
"2022","Kansas State","Big 12","firstDowns","281"
"2022","TCU","Big 12","penalties","72"
"2022","Baylor","Big 12","thirdDowns","179"
"2022","West Virginia","Big 12","sacks","26"
"2022","Kansas","Big 12","netPassingYards","3307"
"2022","Oklahoma State","Big 12","puntReturns","16"
"2022","Kansas State","Big 12","fourthDownConversions","17"
"2022","Kansas State","Big 12","thirdDowns","195"
"2022","West Virginia","Big 12","totalYards","4778"
"2022","Oklahoma","Big 12","interceptions","8"
"2022","TCU","Big 12","fourthDowns","27"
"2022","West Virginia","Big 12","puntReturns","12"
"2022","Baylor","Big 12","passesIntercepted","13"
"2022","Iowa State","Big 12","passesIntercepted","7"
"2022","Iowa State","Big 12","fumblesLost","7"
"2022","Baylor","Big 12","passingTDs","19"
"2022","West Virginia","Big 12","passingTDs","20"
"2022","Oklahoma","Big 12","penaltyYards","652"
"2022","TCU","Big 12","sacks","30"
"2022","West Virginia","Big 12","fumblesLost","6"
"2022","Texas","Big 12","interceptionTDs","2"
"2022","Oklahoma","Big 12","rushingAttempts","580"
"2022","Texas","Big 12","fumblesRecovered","7"
"2022","Baylor","Big 12","interceptionTDs","1"
"2022","Iowa State","Big 12","sacks","18"
"2022","Oklahoma","Big 12","possessionTime","20534"
"2022","Oklahoma","Big 12","rushingTDs","28"
"2022","Oklahoma","Big 12","passesIntercepted","17"
"2022","Oklahoma","Big 12","kickReturnYards","481"
"2022","Oklahoma","Big 12","thirdDowns","195"
"2022","West Virginia","Big 12","interceptions","12"
"2022","Oklahoma","Big 12","games","13"
"2022","TCU","Big 12","rushingTDs","37"
"2022","Texas Tech","Big 12","turnovers","25"
"2022","Iowa State","Big 12","kickReturnTDs","0"
"2022","Kansas State","Big 12","passingTDs","21"
"2022","Texas Tech","Big 12","fumblesLost","7"
"2022","Baylor","Big 12","passAttempts","392"
"2022","TCU","Big 12","firstDowns","315"
"2022","Texas","Big 12","rushingTDs","29"
"2022","Texas Tech","Big 12","sacks","29"
"2022","Oklahoma","Big 12","passingTDs","27"
"2022","Kansas","Big 12","passesIntercepted","12"
"2022","Iowa State","Big 12","turnovers","22"
"2022","Baylor","Big 12","rushingTDs","34"
"2022","Oklahoma","Big 12","puntReturns","13"
"2022","TCU","Big 12","turnovers","16"
"2022","Oklahoma State","Big 12","puntReturnTDs","1"
"2022","Kansas State","Big 12","passesIntercepted","16"
"2022","Baylor","Big 12","fumblesLost","7"
"2022","Oklahoma State","Big 12","firstDowns","289"
"2022","Kansas State","Big 12","fumblesLost","6"
"2022","Kansas","Big 12","interceptions","8"
"2022","TCU","Big 12","netPassingYards","3926"
"2022","TCU","Big 12","rushingAttempts","566"
"2022","Kansas","Big 12","totalYards","5693"
"2022","Kansas","Big 12","puntReturnYards","15"
"2022","TCU","Big 12","fourthDownConversions","14"
"2022","TCU","Big 12","passingTDs","33"
"2022","Iowa State","Big 12","totalYards","4427"
"2022","Kansas State","Big 12","thirdDownConversions","76"
"2022","Baylor","Big 12","games","13"
"2022","Kansas State","Big 12","tacklesForLoss","68"
"2022","Baylor","Big 12","puntReturnYards","189"
"2022","Baylor","Big 12","tacklesForLoss","60"
"2022","West Virginia","Big 12","thirdDownConversions","73"
"2022","TCU","Big 12","passesIntercepted","16"
"2022","Oklahoma State","Big 12","fumblesLost","5"
"2022","Texas Tech","Big 12","passAttempts","570"
"2022","Texas","Big 12","puntReturns","21"
"2022","Baylor","Big 12","puntReturns","15"
"2022","Texas Tech","Big 12","kickReturns","30"
"2022","Baylor","Big 12","fumblesRecovered","7"
"2022","Texas","Big 12","kickReturnYards","472"
"2022","Iowa State","Big 12","penaltyYards","548"
"2022","Oklahoma State","Big 12","sacks","25"
"2022","Oklahoma","Big 12","interceptionTDs","0"
"2022","Kansas State","Big 12","puntReturnYards","197"
"2022","Kansas","Big 12","thirdDowns","158"
"2022","Kansas","Big 12","firstDowns","264"
"2022","Texas Tech","Big 12","thirdDowns","211"
"2022","Texas","Big 12","possessionTime","21302"
"2022","Iowa State","Big 12","possessionTime","23128"
"2022","Kansas State","Big 12","netPassingYards","2947"
"2022","TCU","Big 12","kickReturnTDs","0"
