"Season","Team","Conference","StatName","StatValue"
"2020","Purdue","Big Ten","totalYards","2342"
"2020","Indiana","Big Ten","interceptionTDs","0"
"2020","Penn State","Big Ten","fourthDowns","22"
"2020","Maryland","Big Ten","fumblesLost","2"
"2020","Indiana","Big Ten","fumblesRecovered","3"
"2020","Penn State","Big Ten","thirdDowns","133"
"2020","Minnesota","Big Ten","kickReturnYards","248"
"2020","Purdue","Big Ten","netPassingYards","1854"
"2020","Penn State","Big Ten","interceptionYards","18"
"2020","Rutgers","Big Ten","puntReturns","10"
"2020","Ohio State","Big Ten","fumblesRecovered","11"
"2020","Northwestern","Big Ten","rushingYards","1476"
"2020","Michigan","Big Ten","passCompletions","123"
"2020","Ohio State","Big Ten","puntReturnYards","62"
"2020","Ohio State","Big Ten","possessionTime","15442"
"2020","Wisconsin","Big Ten","passingTDs","10"
"2020","Ohio State","Big Ten","kickReturnYards","93"
"2020","Purdue","Big Ten","fourthDownConversions","6"
"2020","Iowa","Big Ten","turnovers","9"
"2020","Michigan State","Big Ten","totalYards","2317"
"2020","Minnesota","Big Ten","totalYards","2744"
"2020","Ohio State","Big Ten","kickReturnTDs","0"
"2020","Indiana","Big Ten","possessionTime","14818"
"2020","Purdue","Big Ten","games","6"
"2020","Nebraska","Big Ten","possessionTime","13642"
"2020","Penn State","Big Ten","rushingTDs","15"
"2020","Illinois","Big Ten","passingTDs","10"
"2020","Nebraska","Big Ten","firstDowns","170"
"2020","Penn State","Big Ten","penaltyYards","335"
"2020","Nebraska","Big Ten","interceptions","9"
"2020","Minnesota","Big Ten","fumblesLost","2"
"2020","Nebraska","Big Ten","thirdDowns","103"
"2020","Iowa","Big Ten","rushingYards","1369"
"2020","Wisconsin","Big Ten","puntReturnTDs","0"
"2020","Nebraska","Big Ten","fumblesLost","9"
"2020","Michigan","Big Ten","fumblesLost","2"
"2020","Illinois","Big Ten","games","8"
"2020","Indiana","Big Ten","games","8"
"2020","Illinois","Big Ten","puntReturns","4"
"2020","Nebraska","Big Ten","passCompletions","155"
"2020","Michigan State","Big Ten","puntReturnTDs","0"
"2020","Wisconsin","Big Ten","penalties","36"
"2020","Ohio State","Big Ten","rushingYards","2050"
"2020","Minnesota","Big Ten","passingTDs","7"
"2020","Illinois","Big Ten","interceptions","4"
"2020","Iowa","Big Ten","kickReturnYards","216"
"2020","Maryland","Big Ten","puntReturnYards","5"
"2020","Maryland","Big Ten","tacklesForLoss","33"
"2020","Illinois","Big Ten","sacks","18"
"2020","Northwestern","Big Ten","possessionTime","16906"
"2020","Rutgers","Big Ten","penaltyYards","537"
"2020","Wisconsin","Big Ten","passCompletions","124"
"2020","Illinois","Big Ten","turnovers","9"
"2020","Michigan State","Big Ten","penalties","48"
"2020","Minnesota","Big Ten","fourthDowns","13"
"2020","Penn State","Big Ten","turnovers","17"
"2020","Maryland","Big Ten","puntReturns","2"
"2020","Indiana","Big Ten","passingTDs","16"
"2020","Nebraska","Big Ten","passAttempts","228"
"2020","Maryland","Big Ten","rushingYards","715"
"2020","Indiana","Big Ten","rushingYards","875"
"2020","Ohio State","Big Ten","puntReturns","10"
"2020","Iowa","Big Ten","fourthDowns","9"
"2020","Nebraska","Big Ten","games","8"
"2020","Michigan State","Big Ten","rushingAttempts","238"
"2020","Michigan State","Big Ten","penaltyYards","456"
"2020","Indiana","Big Ten","firstDowns","161"
"2020","Penn State","Big Ten","rushingAttempts","402"
"2020","Ohio State","Big Ten","thirdDowns","106"
"2020","Rutgers","Big Ten","passCompletions","195"
"2020","Minnesota","Big Ten","kickReturnTDs","0"
"2020","Iowa","Big Ten","passCompletions","141"
"2020","Illinois","Big Ten","totalYards","2782"
"2020","Minnesota","Big Ten","interceptions","5"
"2020","Northwestern","Big Ten","games","9"
"2020","Purdue","Big Ten","puntReturns","3"
"2020","Penn State","Big Ten","penalties","39"
"2020","Maryland","Big Ten","passesIntercepted","2"
"2020","Iowa","Big Ten","fourthDownConversions","6"
"2020","Purdue","Big Ten","fumblesLost","3"
"2020","Indiana","Big Ten","passAttempts","291"
"2020","Wisconsin","Big Ten","totalYards","2419"
"2020","Rutgers","Big Ten","netPassingYards","1787"
"2020","Michigan State","Big Ten","possessionTime","11440"
"2020","Penn State","Big Ten","possessionTime","18169"
"2020","Iowa","Big Ten","tacklesForLoss","51"
"2020","Minnesota","Big Ten","fourthDownConversions","7"
"2020","Penn State","Big Ten","netPassingYards","2298"
"2020","Ohio State","Big Ten","tacklesForLoss","46"
"2020","Wisconsin","Big Ten","interceptions","7"
"2020","Nebraska","Big Ten","interceptionYards","102"
"2020","Northwestern","Big Ten","penaltyYards","364"
"2020","Indiana","Big Ten","interceptions","5"
"2020","Michigan","Big Ten","kickReturnTDs","1"
"2020","Purdue","Big Ten","firstDowns","136"
"2020","Maryland","Big Ten","possessionTime","7296"
"2020","Wisconsin","Big Ten","kickReturnTDs","0"
"2020","Illinois","Big Ten","kickReturnYards","400"
"2020","Penn State","Big Ten","passAttempts","306"
"2020","Iowa","Big Ten","puntReturnYards","223"
"2020","Iowa","Big Ten","penaltyYards","317"
"2020","Michigan","Big Ten","games","6"
"2020","Penn State","Big Ten","fumblesLost","8"
"2020","Indiana","Big Ten","puntReturnTDs","0"
"2020","Purdue","Big Ten","possessionTime","9961"
"2020","Michigan","Big Ten","tacklesForLoss","20"
"2020","Minnesota","Big Ten","passCompletions","107"
"2020","Indiana","Big Ten","fumblesLost","6"
"2020","Northwestern","Big Ten","turnovers","14"
"2020","Minnesota","Big Ten","fumblesRecovered","2"
"2020","Michigan State","Big Ten","interceptions","12"
"2020","Northwestern","Big Ten","passCompletions","173"
"2020","Ohio State","Big Ten","passCompletions","158"
"2020","Rutgers","Big Ten","passAttempts","309"
"2020","Penn State","Big Ten","passesIntercepted","4"
"2020","Iowa","Big Ten","fumblesRecovered","7"
"2020","Purdue","Big Ten","kickReturns","20"
"2020","Nebraska","Big Ten","tacklesForLoss","53"
"2020","Nebraska","Big Ten","fourthDowns","13"
"2020","Ohio State","Big Ten","penalties","49"
"2020","Rutgers","Big Ten","interceptionTDs","0"
"2020","Penn State","Big Ten","fumblesRecovered","5"
"2020","Illinois","Big Ten","kickReturns","24"
"2020","Minnesota","Big Ten","rushingYards","1350"
"2020","Michigan State","Big Ten","fourthDownConversions","5"
"2020","Michigan","Big Ten","totalYards","2289"
"2020","Michigan","Big Ten","turnovers","6"
"2020","Michigan State","Big Ten","kickReturnYards","370"
"2020","Michigan","Big Ten","interceptionYards","18"
"2020","Wisconsin","Big Ten","rushingTDs","13"
"2020","Rutgers","Big Ten","possessionTime","15093"
"2020","Purdue","Big Ten","turnovers","7"
"2020","Iowa","Big Ten","rushingTDs","18"
"2020","Penn State","Big Ten","tacklesForLoss","59"
"2020","Northwestern","Big Ten","fumblesLost","6"
"2020","Wisconsin","Big Ten","thirdDowns","100"
"2020","Penn State","Big Ten","rushingYards","1569"
"2020","Northwestern","Big Ten","interceptionTDs","0"
"2020","Michigan State","Big Ten","interceptionYards","107"
"2020","Northwestern","Big Ten","puntReturnTDs","0"
"2020","Michigan","Big Ten","thirdDowns","75"
"2020","Indiana","Big Ten","netPassingYards","2011"
"2020","Illinois","Big Ten","netPassingYards","1223"
"2020","Wisconsin","Big Ten","interceptionTDs","0"
"2020","Nebraska","Big Ten","puntReturnYards","120"
"2020","Purdue","Big Ten","sacks","5"
"2020","Nebraska","Big Ten","puntReturns","9"
"2020","Iowa","Big Ten","puntReturns","23"
"2020","Maryland","Big Ten","penaltyYards","395"
"2020","Michigan State","Big Ten","sacks","12"
"2020","Rutgers","Big Ten","interceptions","8"
"2020","Northwestern","Big Ten","thirdDownConversions","59"
"2020","Michigan","Big Ten","fourthDowns","9"
"2020","Northwestern","Big Ten","passingTDs","12"
"2020","Maryland","Big Ten","rushingTDs","5"
"2020","Nebraska","Big Ten","netPassingYards","1504"
"2020","Michigan","Big Ten","penalties","35"
"2020","Illinois","Big Ten","puntReturnYards","32"
"2020","Michigan","Big Ten","rushingTDs","12"
"2020","Wisconsin","Big Ten","interceptionYards","217"
"2020","Michigan","Big Ten","rushingYards","787"
"2020","Minnesota","Big Ten","games","7"
"2020","Michigan State","Big Ten","fumblesRecovered","5"
"2020","Nebraska","Big Ten","turnovers","18"
"2020","Northwestern","Big Ten","puntReturnYards","66"
"2020","Indiana","Big Ten","passesIntercepted","17"
"2020","Purdue","Big Ten","tacklesForLoss","33"
"2020","Michigan","Big Ten","rushingAttempts","172"
"2020","Michigan","Big Ten","penaltyYards","345"
"2020","Indiana","Big Ten","rushingAttempts","274"
"2020","Purdue","Big Ten","penalties","42"
"2020","Maryland","Big Ten","interceptionYards","0"
"2020","Rutgers","Big Ten","sacks","20"
"2020","Penn State","Big Ten","passCompletions","184"
"2020","Northwestern","Big Ten","thirdDowns","148"
"2020","Purdue","Big Ten","kickReturnTDs","0"
"2020","Michigan State","Big Ten","thirdDownConversions","37"
"2020","Ohio State","Big Ten","rushingAttempts","344"
"2020","Iowa","Big Ten","interceptionTDs","2"
"2020","Nebraska","Big Ten","passingTDs","5"
"2020","Maryland","Big Ten","interceptionTDs","0"
"2020","Wisconsin","Big Ten","penaltyYards","296"
"2020","Rutgers","Big Ten","interceptionYards","54"
"2020","Penn State","Big Ten","interceptions","9"
"2020","Indiana","Big Ten","penaltyYards","357"
"2020","Iowa","Big Ten","interceptions","5"
"2020","Iowa","Big Ten","games","8"
"2020","Minnesota","Big Ten","thirdDownConversions","41"
"2020","Minnesota","Big Ten","passAttempts","184"
"2020","Indiana","Big Ten","sacks","25"
"2020","Indiana","Big Ten","thirdDowns","114"
"2020","Rutgers","Big Ten","fourthDownConversions","11"
