,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Weight,Height,Jersey,Year,Home City,Home State,Home Country,Home Latitude,Home Longitude,Home County Fips,Recruit Ids,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
104,2022,4430063,Dominique Johnson,RB,Arkansas,SEC,0.0085,0.0,0.0141,0.007,0.016,0.0,0.012,0.007,,,8.0,,,,,,,12.0,,,,,,,,,,,0.0,,,,,43.0,,5.4,,,,,,,,,,,,,,8,West,8.5,13,7,6,0,8,3,5,0,7,4,3,0,4,2,2,0,311,9,20,11,13,13,0,83,7,0,161,9,3041,356,230,9,26,83,723,23698,1,162,16,606,27,3085,39,73,89,194,6126,18,,No
105,2022,4430393,Jutahn Mcclain,RB,Kentucky,SEC,0.1002,0.0593,0.1408,0.1098,0.082,0.118,0.08,0.099,,7.8,59.0,,,,,,,75.0,,4.0,,0.0,,0.0,18.0,0.0,0.0,,1.0,0.0,1.0,,,409.0,,4.7,,5.6,,,,,,,,,,,,96,East,7.2,13,7,6,0,8,3,5,0,8,5,3,0,4,2,2,0,229,16,26,6,10,13,1,144,13,1,506,27,2710,349,224,10,21,74,514,25845,0,114,23,463,9,1511,19,52,58,170,4221,19,,No
106,2022,4430569,Jonathan Odom,TE,Florida,SEC,0.012,0.0265,0.0,0.0108,0.011,0.018,0.016,0.01,,,,,,,,,,21.0,,,,,,,7.0,,,,2.0,,,,,69.0,,,,9.9,,,,,,,,,,,,57,East,6.3,13,6,7,0,8,3,5,0,7,5,2,0,4,1,3,0,260,15,32,5,17,13,2,93,9,0,586,27,2910,366,199,9,18,89,651,22655,0,130,18,472,29,2603,23,70,68,168,5513,14,,No
107,2022,4430657,Devin Price,WR,Texas A&M,SEC,0.0066,0.0122,0.0,0.0086,0.004,0.007,0.006,0.004,,,,,,,,,,25.0,,,,,,,4.0,,,,0.0,,,,,52.0,,,,13.0,,,,,,,,,,,,245,West,4.7,12,5,7,0,8,2,6,0,7,4,3,0,4,0,4,0,233,4,11,12,19,12,0,13,6,1,510,23,2633,391,220,4,18,76,589,20049,0,121,22,367,12,1707,19,66,55,153,4340,18,3.0,Yes
108,2022,4430802,Darnell Washington,TE,Georgia,SEC,0.0339,0.0704,0.0,0.0301,0.045,0.022,0.023,0.052,,,,,,,,,,34.0,,,,0.0,,0.0,28.0,0.0,1.0,,2.0,0.0,1.0,,,454.0,,,,16.2,,,,,,,,,,,,61,East,14.4,15,15,0,0,9,9,0,0,6,6,0,0,4,4,0,0,371,13,15,10,11,15,0,122,7,0,437,22,4437,492,336,12,31,66,673,30211,0,265,22,557,44,3080,35,81,93,182,7517,17,,No
109,2022,4430817,Xzavier Henderson,WR,Florida,SEC,0.0575,0.1273,0.0,0.0486,0.06,0.066,0.027,0.087,,24.200000000000003,,,,,3.0,,,149.0,0.0,20.0,,,,,38.0,,,,2.0,,,,,629.0,,,,10.8,,,,,,,,,,,,57,East,6.3,13,6,7,0,8,3,5,0,7,5,2,0,4,1,3,0,260,15,32,5,17,13,2,93,9,0,586,27,2910,366,199,9,18,89,651,22655,0,130,18,472,29,2603,23,70,68,168,5513,14,4.0,Yes
110,2022,4430823,Thaiu Jones-Bell,WR,Alabama,SEC,0.0011,0.0022,0.0,0.0,0.0,0.006,0.005,0.0,,,,,,,,,,5.0,,,,,,,1.0,,,,0.0,,,,,5.0,,,,5.0,,,,,,,,,,,,333,West,10.5,13,11,2,0,8,6,2,0,7,7,0,0,5,3,2,0,310,9,15,8,9,13,1,74,8,0,372,21,3660,438,280,7,37,103,893,23330,2,456,30,458,26,2544,38,84,74,162,6204,16,,No
111,2022,4430828,Mookie Cooper,WR,Missouri,SEC,0.0326,0.069,0.0,0.0265,0.041,0.035,0.02,0.048,,,,,,,,,,46.0,,,,,,,26.0,,,,0.0,,,,,295.0,,,,11.3,,,,,,,,,,,,142,East,5.5,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0,241,9,18,11,12,13,2,99,9,0,229,14,2771,391,247,11,13,101,828,24245,1,147,13,493,21,2034,35,91,77,193,4805,20,,No
112,2022,4430833,Ja'Quavion Fraziars,WR,Florida,SEC,0.0108,0.0239,0.0,0.0054,0.011,0.018,0.005,0.021,,,,,,,,,,19.0,,,,0.0,,0.0,5.0,0.0,1.0,,1.0,0.0,1.0,,,60.0,,,,12.0,,,,,,,,,,,,57,East,6.3,13,6,7,0,8,3,5,0,7,5,2,0,4,1,3,0,260,15,32,5,17,13,2,93,9,0,586,27,2910,366,199,9,18,89,651,22655,0,130,18,472,29,2603,23,70,68,168,5513,14,,No
113,2022,4430841,Carson Beck,QB,Georgia,SEC,0.0388,0.0704,0.0094,0.0361,0.039,0.044,0.046,0.032,35.0,,7.0,26.0,,,2.0,0.0,,20.0,1.0,,0.743,,,,0.0,,,,4.0,,,,,353.0,8.9,6.1,,,,,,,,,,,,,,61,East,14.4,15,15,0,0,9,9,0,0,6,6,0,0,4,4,0,0,371,13,15,10,11,15,0,122,7,0,437,22,4437,492,336,12,31,66,673,30211,0,265,22,557,44,3080,35,81,93,182,7517,17,,No
114,2022,4431051,Izayah Cummings,TE,Kentucky,SEC,0.0012,0.0,0.0024,0.0029,0.0,0.0,0.0,0.0,,3.0,1.0,,,,,,,26.0,,1.0,,,,,,,,,0.0,,,,,26.0,,23.0,,,,,,,,,,,,,,96,East,7.2,13,7,6,0,8,3,5,0,8,5,3,0,4,2,2,0,229,16,26,6,10,13,1,144,13,1,506,27,2710,349,224,10,21,74,514,25845,0,114,23,463,9,1511,19,52,58,170,4221,19,,No
