,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Weight,Height,Jersey,Year,Home City,Home State,Home Country,Home Latitude,Home Longitude,Home County Fips,Recruit Ids,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
149,2022,4592573,Michael Jackson III,WR,USC,PAC12,0.0191,0.0311,0.0045,0.0188,0.019,0.024,0.015,0.022,,6.4,2.0,,,,,,,129.0,,11.0,,,,,17.0,,,,4.0,,,,,378.0,,36.0,,13.9,,,,,,,,,,,,30,,9.8,14,11,3,0,10,8,2,0,7,7,0,0,5,4,1,0,360,15,22,2,11,14,3,339,5,0,655,36,4694,514,344,19,43,88,812,26804,0,93,17,473,30,2396,40,77,91,168,7090,7,,No
150,2022,4596448,Mar'Keise Irving,RB,Oregon,PAC12,0.0319,0.0069,0.0537,0.0433,0.033,0.006,0.022,0.024,2.0,24.6,155.0,2.0,,,1.0,0.0,,140.0,0.0,5.0,1.0,0.0,,0.0,31.0,0.0,1.0,,9.0,0.0,1.0,,,1510.0,18.0,6.8,,9.6,,,,,,,,,,,,2483,,10.5,13,10,3,0,9,7,2,0,6,5,1,0,5,4,1,0,340,20,32,3,10,13,1,207,9,0,523,28,3703,432,308,16,30,88,744,24462,0,64,13,508,34,2804,17,51,75,162,6507,12,,No
151,2022,4600603,Drew Carter,QB,Colorado,PAC12,0.0163,0.0174,0.0156,0.0144,0.014,0.013,0.012,0.021,4.0,,7.0,1.0,,,1.0,0.0,,18.0,0.0,,0.25,,,,0.0,,,,0.0,,,,,17.0,0.8,2.0,,,,,,,,,,,,,,38,,1.0,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0,190,11,30,12,7,12,0,57,10,0,750,35,2075,360,179,6,10,64,579,19718,1,177,11,387,11,1300,10,49,52,164,3375,22,3.0,Yes
152,2022,4602644,Brendon Barrow,RB,Stanford,PAC12,0.0296,0.0126,0.0541,0.0249,0.044,0.019,0.029,0.035,,24.2,19.0,,,,,,,66.0,,9.0,,0.0,,0.0,4.0,0.0,1.0,,0.0,0.0,1.0,,,322.0,,4.2,,6.0,,,,,,,,,,,,24,,2.9,12,3,9,0,9,1,8,0,6,2,4,0,6,1,5,0,249,11,21,13,6,12,0,3,8,0,888,46,3051,448,275,6,15,55,495,21522,0,64,17,376,14,1288,21,65,62,164,4339,21,,No
153,2022,4602895,Makai Cope,WR,Utah,PAC12,0.0072,0.0158,0.0,0.0065,0.01,0.006,0.0,0.016,,,,,,,,,,21.0,,,,,,,7.0,,,,1.0,,,,,75.0,,,,10.7,,,,,,,,,,,,254,,9.6,14,10,4,0,10,8,2,0,6,6,0,0,6,3,3,0,363,18,29,8,20,14,3,293,10,0,160,8,3489,446,288,12,31,63,563,28286,0,234,31,560,38,3048,41,82,91,180,6537,18,,No
154,2022,4608869,Taniela Pututau,TE,Utah,PAC12,0.0021,0.0045,0.0,0.0022,0.003,0.0,0.0,0.004,,,,,,,,,,13.0,,,,,,,2.0,,,,0.0,,,,,17.0,,,,8.5,,,,,,,,,,,,254,,9.6,14,10,4,0,10,8,2,0,6,6,0,0,6,3,3,0,363,18,29,8,20,14,3,293,10,0,160,8,3489,446,288,12,31,63,563,28286,0,234,31,560,38,3048,41,82,91,180,6537,18,,No
155,2022,4612411,Chase Penry,WR,Colorado,PAC12,0.0045,0.0087,0.0,0.0072,0.005,0.0,0.006,0.0,,5.3,,,,,,,,25.0,,3.0,,,,,2.0,,,,0.0,,,,,41.0,,,,12.5,,,,,,,,,,,,38,,1.0,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0,190,11,30,12,7,12,0,57,10,0,750,35,2075,360,179,6,10,64,579,19718,1,177,11,387,11,1300,10,49,52,164,3375,22,3.0,Yes
156,2022,4635009,J.Michael Sturdivant,WR,California,PAC12,0.1114,0.1749,0.0069,0.1045,0.113,0.132,0.104,0.125,,,2.0,,,,,,,50.0,,,,0.0,,0.0,65.0,0.0,0.0,,7.0,0.0,1.0,,,747.0,,-4.0,,11.6,,,,,,,,,,,,25,,3.7,12,4,8,0,9,2,7,0,7,4,3,0,5,0,5,0,231,12,22,3,13,12,1,127,9,0,342,20,3217,466,291,11,23,63,535,20679,0,240,22,318,10,1158,16,53,59,167,4375,12,4.0,Yes
157,2022,4643625,Kai Millner,QB,California,PAC12,0.0205,0.0309,0.0035,0.0209,0.016,0.018,0.035,0.011,15.0,,1.0,9.0,,,,0.0,,13.0,,,0.6,,,,,,,,2.0,,,,,134.0,8.1,13.0,,,,,,,,,,,,,,25,,3.7,12,4,8,0,9,2,7,0,7,4,3,0,5,0,5,0,231,12,22,3,13,12,1,127,9,0,342,20,3217,466,291,11,23,63,535,20679,0,240,22,318,10,1158,16,53,59,167,4375,12,4.0,Yes
158,2022,4668019,Erik Olsen,TE,Colorado,PAC12,0.0089,0.0174,0.0,0.0108,0.005,0.007,0.006,0.008,,5.0,,,,,,,,16.0,,2.0,,0.0,,0.0,5.0,0.0,2.0,,0.0,0.0,3.0,,,31.0,,,,4.2,,,,,,,,,,,,38,,1.0,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0,190,11,30,12,7,12,0,57,10,0,750,35,2075,360,179,6,10,64,579,19718,1,177,11,387,11,1300,10,49,52,164,3375,22,,No
159,2022,4680019,Jimmy Valsin III,WR,Oregon State,PAC12,0.0012,0.0031,0.0,0.0,0.004,0.0,0.004,0.0,,,,,,,,,,8.0,,,,,,,1.0,,,,0.0,,,,,8.0,,,,8.0,,,,,,,,,,,,204,,11.2,13,10,3,0,9,6,3,0,6,5,1,0,5,3,2,0,289,16,23,5,9,13,2,105,13,0,667,30,2594,323,201,12,16,78,711,24925,2,319,20,523,36,2554,21,64,67,153,5148,18,,No
160,2022,4683206,Orion Peters,WR,Washington State,PAC12,0.0163,0.026,0.0,0.0257,0.015,0.0,0.005,0.011,,,,,,,,,,27.0,,,,,,,13.0,,,,1.0,,,,,138.0,,,,10.6,,,,,,,,,,,,265,,5.4,13,7,6,0,9,4,5,0,7,4,3,0,5,3,2,0,253,13,29,8,16,13,2,245,9,0,603,28,3286,499,322,12,24,70,592,21586,0,218,24,365,17,1395,30,75,64,175,4681,17,,No
161,2022,4683818,Deshun Murrell,RB,UCLA,PAC12,0.0064,0.0,0.0122,0.0068,0.01,0.0,0.008,0.004,,,6.0,,,,,,,9.0,,,,,,,,,,,0.0,,,,,34.0,,5.7,,,,,,,,,,,,,,26,,9.8,13,9,4,0,9,6,3,0,8,6,2,0,4,3,1,0,336,15,26,8,12,13,1,182,12,0,759,39,3447,419,291,11,29,84,682,21338,0,56,11,514,36,3099,28,56,83,163,6546,20,,No
162,2022,4685201,Tanner McKee,QB,Stanford,PAC12,0.6084,0.9621,0.1111,0.5512,0.641,0.679,0.539,0.723,426.0,,74.0,264.0,,,3.0,8.0,,19.0,2.0,,0.62,0.0,,0.0,0.0,0.0,1.0,,15.0,0.0,1.0,,,2857.0,6.9,-1.2,,,,,,,,,,,,,,24,,2.9,12,3,9,0,9,1,8,0,6,2,4,0,6,1,5,0,249,11,21,13,6,12,0,3,8,0,888,46,3051,448,275,6,15,55,495,21522,0,64,17,376,14,1288,21,65,62,164,4339,21,,No
163,2022,4685203,Caleb Robinson,RB,Stanford,PAC12,0.0394,0.0147,0.0751,0.0526,0.037,0.019,0.024,0.031,,,26.0,,,,,,,28.0,,,,,,,6.0,,,,0.0,,,,,120.0,,3.5,,4.8,,,,,,,,,,,,24,,2.9,12,3,9,0,9,1,8,0,6,2,4,0,6,1,5,0,249,11,21,13,6,12,0,3,8,0,888,46,3051,448,275,6,15,55,495,21522,0,64,17,376,14,1288,21,65,62,164,4339,21,,No
164,2022,4685268,Raleek Brown,WR,USC,PAC12,0.0584,0.0293,0.094,0.0667,0.05,0.053,0.042,0.055,,21.5,42.0,,,,,,,119.0,,24.0,,,,,16.0,,,,6.0,,,,,913.0,,5.4,,10.6,,,,,,,,,,,,30,,9.8,14,11,3,0,10,8,2,0,7,7,0,0,5,4,1,0,360,15,22,2,11,14,3,339,5,0,655,36,4694,514,344,19,43,88,812,26804,0,93,17,473,30,2396,40,77,91,168,7090,7,,No
165,2022,4685289,Keyan Burnett,TE,Arizona,PAC12,0.0038,0.0066,0.0,0.0054,0.004,0.0,0.005,0.0,,,,,,,,,,5.0,,,,,,,3.0,,,,0.0,,,,,10.0,,,,3.3,,,,,,,,,,,,12,,4.0,12,5,7,0,9,3,6,0,7,3,4,0,5,2,3,0,289,10,23,8,23,12,0,59,13,0,354,20,3821,459,283,4,26,65,600,20202,0,93,13,352,19,1728,15,55,62,147,5549,21,,No
166,2022,4685385,Anthony Hankerson,RB,Colorado,PAC12,0.1025,0.0145,0.2,0.0935,0.117,0.12,0.139,0.089,,,68.0,,,,1.0,,,38.0,1.0,,,0.0,,0.0,5.0,0.0,2.0,,3.0,0.0,2.0,,,298.0,,4.0,,4.8,,,,,,,,,,,,38,,1.0,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0,190,11,30,12,7,12,0,57,10,0,750,35,2075,360,179,6,10,64,579,19718,1,177,11,387,11,1300,10,49,52,164,3375,22,,No
167,2022,4685397,Jordan James,RB,Oregon,PAC12,0.0479,0.0023,0.0875,0.041,0.046,0.056,0.07,0.041,,,46.0,,,,,,,30.0,,,,0.0,,0.0,1.0,0.0,1.0,,5.0,0.0,1.0,,,195.0,,4.1,,6.0,,,,,,,,,,,,2483,,10.5,13,10,3,0,9,7,2,0,6,5,1,0,5,4,1,0,340,20,32,3,10,13,1,207,9,0,523,28,3703,432,308,16,30,88,744,24462,0,64,13,508,34,2804,17,51,75,162,6507,12,,No
168,2022,4685445,Rayshon Luke,RB,Arizona,PAC12,0.0203,0.0022,0.0469,0.035,0.012,0.0,0.005,0.009,,,15.0,,,,,,,29.0,,,,,,,1.0,,,,0.0,,,,,106.0,,7.0,,1.0,,,,,,,,,,,,12,,4.0,12,5,7,0,9,3,6,0,7,3,4,0,5,2,3,0,289,10,23,8,23,12,0,59,13,0,354,20,3821,459,283,4,26,65,600,20202,0,93,13,352,19,1728,15,55,62,147,5549,21,,No
169,2022,4685472,Tetairoa Mcmillan,WR,Arizona,PAC12,0.0533,0.0919,0.0,0.0539,0.04,0.076,0.077,0.035,2.0,,,2.0,,,,0.0,,47.0,,,1.0,0.0,,0.0,39.0,0.0,1.0,,8.0,0.0,1.0,,,710.0,4.0,,,18.0,,,,,,,,,,,,12,,4.0,12,5,7,0,9,3,6,0,7,3,4,0,5,2,3,0,289,10,23,8,23,12,0,59,13,0,354,20,3821,459,283,4,26,65,600,20202,0,93,13,352,19,1728,15,55,62,147,5549,21,,No
170,2022,4685489,Jadyn Ott,RB,California,PAC12,0.2778,0.1049,0.5764,0.3254,0.285,0.186,0.324,0.192,,,169.0,,,,1.0,,,100.0,1.0,,,,,,46.0,,,,11.0,,,,,1218.0,,5.3,,7.0,,,,,,,,,,,,25,,3.7,12,4,8,0,9,2,7,0,7,4,3,0,5,0,5,0,231,12,22,3,13,12,1,127,9,0,342,20,3217,466,291,11,23,63,535,20679,0,240,22,318,10,1158,16,53,59,167,4375,12,,No
171,2022,4685504,Sam Roush,TE,Stanford,PAC12,0.0025,0.0042,0.0,0.0055,0.0,0.0,0.0,0.0,,8.0,,,,,0.0,,,31.0,0.0,1.0,,0.0,,0.0,4.0,0.0,2.0,,0.0,0.0,3.0,,,42.0,,,,17.0,,,,,,,,,,,,24,,2.9,12,3,9,0,9,1,8,0,6,2,4,0,6,1,5,0,249,11,21,13,6,12,0,3,8,0,888,46,3051,448,275,6,15,55,495,21522,0,64,17,376,14,1288,21,65,62,164,4339,21,,No
172,2022,4685540,Carsen Ryan,RB,UCLA,PAC12,0.0075,0.016,0.0,0.0136,0.0,0.006,0.004,0.0,,,,,,,,,,26.0,,,,0.0,,0.0,6.0,0.0,1.0,,0.0,0.0,1.0,,,82.0,,,,13.7,,,,,,,,,,,,26,,9.8,13,9,4,0,9,6,3,0,8,6,2,0,4,3,1,0,336,15,26,8,12,13,1,182,12,0,759,39,3447,419,291,11,29,84,682,21338,0,56,11,514,36,3099,28,56,83,163,6546,20,,No
173,2022,4685579,Tevin White,RB,Arizona State,PAC12,0.0091,0.0027,0.0177,0.0166,0.005,0.0,0.006,0.0,,,14.0,,,,1.0,,,24.0,1.0,,,0.0,,0.0,1.0,0.0,2.0,,0.0,0.0,2.0,,,75.0,,4.8,,8.0,,,,,,,,,,,,9,,4.3,12,3,9,0,9,2,7,0,6,2,4,0,6,1,5,0,254,12,19,8,1,12,1,114,10,0,757,34,3023,403,270,11,18,87,868,22137,0,63,19,385,21,1623,17,50,59,151,4646,18,,No
174,2022,4686107,Chad Johnson Jr.,WR,Arizona State,PAC12,0.0015,0.0027,0.0,0.0033,0.0,0.0,0.0,0.0,,,,,,,,,,5.0,,,,,,,1.0,,,,0.0,,,,,5.0,,,,5.0,,,,,,,,,,,,9,,4.3,12,3,9,0,9,2,7,0,6,2,4,0,6,1,5,0,254,12,19,8,1,12,1,114,10,0,757,34,3023,403,270,11,18,87,868,22137,0,63,19,385,21,1623,17,50,59,151,4646,18,,No
175,2022,4686569,Shield Taylor,TE,Stanford,PAC12,0.0062,0.0084,0.003,0.0028,0.011,0.006,0.005,0.012,,6.5,1.0,,,,,,,27.0,,2.0,,0.0,,0.0,4.0,0.0,1.0,,0.0,0.0,1.0,,,39.0,,2.0,,6.0,,,,,,,,,,,,24,,2.9,12,3,9,0,9,1,8,0,6,2,4,0,6,1,5,0,249,11,21,13,6,12,0,3,8,0,888,46,3051,448,275,6,15,55,495,21522,0,64,17,376,14,1288,21,65,62,164,4339,21,,No
176,2022,4686771,Caleb Fauria,TE,Colorado,PAC12,0.0059,0.0116,0.0,0.0,0.009,0.007,0.018,0.004,,,,,,,,,,15.0,,,,,,,3.0,,,,0.0,,,,,23.0,,,,7.7,,,,,,,,,,,,38,,1.0,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0,190,11,30,12,7,12,0,57,10,0,750,35,2075,360,179,6,10,64,579,19718,1,177,11,387,11,1300,10,49,52,164,3375,22,,No
177,2022,4686775,Montana Lemonious-Craig,WR,Colorado,PAC12,0.0431,0.0843,0.0,0.0468,0.042,0.02,0.024,0.051,,,,,,,,,,69.0,,,,,,,23.0,,,,3.0,,,,,359.0,,,,15.6,,,,,,,,,,,,38,,1.0,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0,190,11,30,12,7,12,0,57,10,0,750,35,2075,360,179,6,10,64,579,19718,1,177,11,387,11,1300,10,49,52,164,3375,22,4.0,Yes
178,2022,4686781,Brenden Rice,WR,USC,PAC12,0.0503,0.0916,0.0,0.0396,0.05,0.089,0.05,0.066,,16.3,,,,,,,,92.0,,3.0,,0.0,,0.0,39.0,0.0,1.0,,4.0,0.0,1.0,,,660.0,,,,15.7,,,,,,,,,,,,30,,9.8,14,11,3,0,10,8,2,0,7,7,0,0,5,4,1,0,360,15,22,2,11,14,3,339,5,0,655,36,4694,514,344,19,43,88,812,26804,0,93,17,473,30,2396,40,77,91,168,7090,7,,No
179,2022,4686782,Jayle Stacks,RB,Colorado,PAC12,0.052,0.0029,0.1063,0.0468,0.051,0.06,0.079,0.042,,,35.0,,,,,,,21.0,,,,,,,1.0,,,,1.0,,,,,116.0,,3.3,,2.0,,,,,,,,,,,,38,,1.0,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0,190,11,30,12,7,12,0,57,10,0,750,35,2075,360,179,6,10,64,579,19718,1,177,11,387,11,1300,10,49,52,164,3375,22,3.0,Yes
