,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
416,2021,4695486,Rodney Robinson,S,Boise State,MW,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,0.0,11.0,,0.0,0.0,21.0,,,,,,,,68,Mountain,6.6,12,7,5,0,8,5,3,0,6,3,3,0,6,4,2,0,264,6,16,5,10,12,1,268,10,0,484,24,3127,410,254,13,20,60,595,21573,3,238,17,460,15,1466,28,66,80,181,4593,15,,No
417,2021,4695490,Jaylen Clark,CB,Boise State,MW,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,2.0,,0.0,0.0,3.0,,,,,,,,68,Mountain,6.6,12,7,5,0,8,5,3,0,6,3,3,0,6,4,2,0,264,6,16,5,10,12,1,268,10,0,484,24,3127,410,254,13,20,60,595,21573,3,238,17,460,15,1466,28,66,80,181,4593,15,,No
418,2021,4695499,Divine Obichere,DT,Boise State,MW,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,1.0,4.0,,0.0,2.5,16.0,,,,,,,,68,Mountain,6.6,12,7,5,0,8,5,3,0,6,3,3,0,6,4,2,0,264,6,16,5,10,12,1,268,10,0,484,24,3127,410,254,13,20,60,595,21573,3,238,17,460,15,1466,28,66,80,181,4593,15,,No
419,2021,4699768,Jonah Dalmas,PK,Boise State,MW,,,,,,,,,,,,,28.0,26.0,,,,47.0,,,0.929,,116.0,,,,,,,,,39.0,38.0,,,,,,68,Mountain,6.6,12,7,5,0,8,5,3,0,6,3,3,0,6,4,2,0,264,6,16,5,10,12,1,268,10,0,484,24,3127,410,254,13,20,60,595,21573,3,238,17,460,15,1466,28,66,80,181,4593,15,,No
420,2021,4709014,Zion Washington,S,Boise State,MW,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,1.0,,,,,,,,68,Mountain,6.6,12,7,5,0,8,5,3,0,6,3,3,0,6,4,2,0,264,6,16,5,10,12,1,268,10,0,484,24,3127,410,254,13,20,60,595,21573,3,238,17,460,15,1466,28,66,80,181,4593,15,,No
421,2021,4710422,Ahmed Hassanein,DE,Boise State,MW,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,4.0,,0.0,0.0,5.0,,,,,,,,68,Mountain,6.6,12,7,5,0,8,5,3,0,6,3,3,0,6,4,2,0,264,6,16,5,10,12,1,268,10,0,484,24,3127,410,254,13,20,60,595,21573,3,238,17,460,15,1466,28,66,80,181,4593,15,,No
422,2021,4880199,Jordan Erickson,S,Boise State,MW,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,1.0,1.0,,,,,,,,68,Mountain,6.6,12,7,5,0,8,5,3,0,6,3,3,0,6,4,2,0,264,6,16,5,10,12,1,268,10,0,484,24,3127,410,254,13,20,60,595,21573,3,238,17,460,15,1466,28,66,80,181,4593,15,,No
423,2021,4432431,Avery Morrow,RB,Nevada,MW,0.0167,0.0067,0.0382,0.0174,0.017,0.016,0.023,0.01,,,11.0,,,,,,,63.0,,,,,,,8.0,,,,1.0,,,,,189.0,,11.0,,8.5,2440,West,6.5,13,8,5,0,8,5,3,0,6,5,1,0,6,3,3,0,289,12,21,2,21,13,3,219,9,0,810,39,4511,572,395,14,38,85,716,22524,0,223,19,337,13,1006,41,79,78,188,5517,11,3.0,Yes
424,2021,4361435,Carson Strong,QB,Nevada,MW,0.625,0.9083,0.0521,0.5771,0.645,0.705,0.551,0.737,524.0,,51.0,367.0,,,3.0,8.0,1.0,51.0,1.0,3.0,0.7,0.0,,0.0,0.0,0.0,0.0,1.0,36.0,0.0,1.0,,,4082.0,8.0,-4.1,34.7,,2440,West,6.5,13,8,5,0,8,5,3,0,6,5,1,0,6,3,3,0,289,12,21,2,21,13,3,219,9,0,810,39,4511,572,395,14,38,85,716,22524,0,223,19,337,13,1006,41,79,78,188,5517,11,,No
425,2021,4569089,Carson Walters,WR,Nevada,MW,0.0033,0.005,0.0,0.005,0.0,0.005,0.0,0.003,,,,,,,,,,7.0,,,,,,,2.0,,,,0.0,,,,,4.0,,,,2.0,2440,West,6.5,13,8,5,0,8,5,3,0,6,5,1,0,6,3,3,0,289,12,21,2,21,13,3,219,9,0,810,39,4511,572,395,14,38,85,716,22524,0,223,19,337,13,1006,41,79,78,188,5517,11,,No
