"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2020","21","San Diego State","Mountain West","West","5.5","8","4","4","0","6","4","2","0","4","3","1","0","4","1","3","0"
"2020","23","San José State","Mountain West","West","5.4","8","7","1","0","7","7","0","0","4","4","0","0","2","2","0","0"
"2020","36","Colorado State","Mountain West","Mountain","0.9","4","1","3","0","4","1","3","0","1","1","0","0","3","0","3","0"
"2020","62","Hawai'i","Mountain West","West","4.1","9","5","4","0","8","4","4","0","4","3","1","0","4","1","3","0"
"2020","68","Boise State","Mountain West","Mountain","4.7","7","5","2","0","6","5","1","0","3","2","1","0","3","3","0","0"
"2020","167","New Mexico","Mountain West","Mountain","2.3","7","2","5","0","7","2","5","0","4","2","2","0","3","0","3","0"
"2020","278","Fresno State","Mountain West","West","3.4","6","3","3","0","6","3","3","0","2","1","1","0","4","2","2","0"
"2020","328","Utah State","Mountain West","Mountain","1","6","1","5","0","6","1","5","0","4","1","3","0","2","0","2","0"
"2020","2005","Air Force","Mountain West","Mountain","4.7","6","3","3","0","4","2","2","0","3","2","1","0","3","1","2","0"
"2020","2439","UNLV","Mountain West","West","0.6","6","0","6","0","6","0","6","0","3","0","3","0","3","0","3","0"
"2020","2440","Nevada","Mountain West","West","5","9","7","2","0","8","6","2","0","4","4","0","0","4","2","2","0"
"2020","2751","Wyoming","Mountain West","Mountain","3.1","6","2","4","0","6","2","4","0","2","1","1","0","4","1","3","0"
