"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2022","77","Northwestern","Big Ten","West","3.5","12","1","11","0","9","1","8","0","6","0","6","0","5","0","5","0"
"2022","84","Indiana","Big Ten","East","1.7","12","4","8","0","9","2","7","0","7","3","4","0","5","1","4","0"
"2022","120","Maryland","Big Ten","East","6.8","13","8","5","0","9","4","5","0","7","5","2","0","5","2","3","0"
"2022","127","Michigan State","Big Ten","East","3.9","12","5","7","0","9","3","6","0","7","4","3","0","5","1","4","0"
"2022","130","Michigan","Big Ten","East","12.6","14","13","1","0","10","10","0","0","8","8","0","0","4","4","0","0"
"2022","135","Minnesota","Big Ten","West","9.7","13","9","4","0","9","5","4","0","7","5","2","0","5","3","2","0"
"2022","158","Nebraska","Big Ten","West","5","12","4","8","0","9","3","6","0","7","2","5","0","4","2","2","0"
"2022","164","Rutgers","Big Ten","East","4.9","12","4","8","0","9","1","8","0","6","2","4","0","6","2","4","0"
"2022","194","Ohio State","Big Ten","East","9.8","13","11","2","0","9","8","1","0","8","7","1","0","4","4","0","0"
"2022","213","Penn State","Big Ten","East","10.5","13","11","2","0","9","7","2","0","7","6","1","0","5","4","1","0"
"2022","275","Wisconsin","Big Ten","West","7.9","13","7","6","0","9","4","5","0","7","4","3","0","5","2","3","0"
"2022","356","Illinois","Big Ten","West","10.2","13","8","5","0","9","5","4","0","7","5","2","0","5","3","2","0"
"2022","2294","Iowa","Big Ten","West","6.9","13","8","5","0","9","5","4","0","7","4","3","0","5","3","2","0"
"2022","2509","Purdue","Big Ten","West","6.7","14","8","6","0","10","6","4","0","6","4","2","0","6","4","2","0"
