"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2021","58","South Florida","American Athletic","East","3.3","12","2","10","0","8","1","7","0","6","2","4","0","6","0","6","0"
"2021","151","East Carolina","American Athletic","East","5.7","12","7","5","0","8","5","3","0","6","4","2","0","6","3","3","0"
"2021","202","Tulsa","American Athletic","West","6.5","13","7","6","0","8","5","3","0","6","3","3","0","6","3","3","0"
"2021","218","Temple","American Athletic","East","2.1","12","3","9","0","8","1","7","0","6","2","4","0","6","1","5","0"
"2021","235","Memphis","American Athletic","West","6.4","12","6","6","0","8","3","5","0","7","5","2","0","5","1","4","0"
"2021","248","Houston","American Athletic","West","10.8","14","12","2","0","9","8","1","0","5","5","0","0","7","6","1","0"
"2021","2116","UCF","American Athletic","East","7.3","13","9","4","0","8","5","3","0","7","7","0","0","5","1","4","0"
"2021","2132","Cincinnati","American Athletic","East","10.9","14","13","1","0","9","9","0","0","7","7","0","0","6","6","0","0"
"2021","2426","Navy","American Athletic","West","7","12","4","8","0","8","3","5","0","6","1","5","0","6","3","3","0"
"2021","2567","SMU","American Athletic","West","6.9","12","8","4","0","8","4","4","0","6","5","1","0","6","3","3","0"
"2021","2655","Tulane","American Athletic","West","4.3","12","2","10","0","8","1","7","0","6","2","4","0","6","0","6","0"
