"Year","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2023","Memphis","American Athletic","","7.8","13","10","3","0","8","6","2","0","6","4","2","0","6","6","0","0"
"2023","Vanderbilt","SEC","East","1.3","12","2","10","0","8","0","8","0","6","2","4","0","6","0","6","0"
"2023","Baylor","Big 12","","2.4","12","3","9","0","9","2","7","0","8","1","7","0","4","2","2","0"
"2023","Rice","American Athletic","","5.3","13","6","7","0","8","4","4","0","7","4","3","0","5","2","3","0"
"2023","Texas A&M","SEC","West","8.4","13","7","6","0","8","4","4","0","7","6","1","0","4","0","4","0"
"2023","Houston","Big 12","","2.8","12","4","8","0","9","2","7","0","7","3","4","0","5","1","4","0"
"2023","North Texas","American Athletic","","3.8","12","5","7","0","8","3","5","0","6","3","3","0","6","2","4","0"
"2023","Texas","Big 12","","11.3","14","12","2","0","10","9","1","0","6","6","0","0","5","5","0","0"
"2023","BYU","Big 12","","3.6","12","5","7","0","9","2","7","0","6","4","2","0","6","1","5","0"
"2023","Utah","Pac-12","","8.7","13","8","5","0","9","5","4","0","7","6","1","0","5","2","3","0"
"2023","James Madison","Sun Belt","East","9.7","13","11","2","0","8","7","1","0","6","5","1","0","6","6","0","0"
"2023","Virginia","ACC","Coastal","5.3","12","3","9","0","8","2","6","0","6","2","4","0","5","1","4","0"
"2023","Virginia Tech","ACC","Coastal","7.1","13","7","6","0","8","5","3","0","6","4","2","0","6","2","4","0"
"2023","Washington","Pac-12","","10.6","15","14","1","0","10","10","0","0","7","7","0","0","5","5","0","0"
"2023","Washington State","Pac-12","","5.6","12","5","7","0","9","2","7","0","6","4","2","0","6","1","5","0"
"2023","Wisconsin","Big Ten","West","6.4","13","7","6","0","9","5","4","0","7","4","3","0","5","3","2","0"
"2023","Marshall","Sun Belt","East","6.2","13","6","7","0","8","3","5","0","6","5","1","0","6","1","5","0"
"2023","West Virginia","Big 12","","8.8","13","9","4","0","9","6","3","0","6","5","1","0","6","3","3","0"
"2023","Fresno State","Mountain West","West","6.2","13","9","4","0","8","4","4","0","6","5","1","0","6","3","3","0"
"2023","Georgia Southern","Sun Belt","East","4.9","13","6","7","0","8","3","5","0","6","5","1","0","6","1","5","0"
"2023","Old Dominion","Sun Belt","East","5.4","13","6","7","0","8","5","3","0","6","4","2","0","6","2","4","0"
"2023","Louisiana","Sun Belt","West","6.6","13","6","7","0","8","3","5","0","6","4","2","0","6","2","4","0"
"2023","Coastal Carolina","Sun Belt","East","7.7","13","8","5","0","8","5","3","0","6","4","2","0","6","3","3","0"
"2023","Texas State","Sun Belt","West","8.5","13","8","5","0","8","4","4","0","6","5","1","0","6","2","4","0"
"2023","Utah State","Mountain West","Mountain","6.2","13","6","7","0","8","4","4","0","6","3","3","0","6","3","3","0"
"2023","Alabama","SEC","West","11.3","14","12","2","0","9","9","0","0","7","6","1","0","5","5","0","0"
"2023","Mississippi State","SEC","West","4.8","12","5","7","0","8","1","7","0","8","4","4","0","4","1","3","0"
"2023","Army","FBS Independents","","6.6","12","6","6","0","1","0","1","0","6","3","3","0","4","1","3","0"
"2023","Illinois","Big Ten","West","5.8","12","5","7","0","9","3","6","0","7","3","4","0","5","2","3","0"
"2023","Air Force","Mountain West","Mountain","10.7","13","9","4","0","8","5","3","0","5","4","1","0","5","3","2","0"
"2023","Akron","Mid-American","East","3.8","12","2","10","0","8","1","7","0","5","2","3","0","7","0","7","0"
"2023","Appalachian State","Sun Belt","East","9.7","14","9","5","0","9","6","3","0","6","5","1","0","7","3","4","0"
"2023","Arkansas State","Sun Belt","West","5.6","13","6","7","0","8","4","4","0","6","4","2","0","6","2","4","0"
"2023","Ball State","Mid-American","West","5.7","12","4","8","0","8","3","5","0","6","3","3","0","6","1","5","0"
"2023","Buffalo","Mid-American","East","2.8","12","3","9","0","8","3","5","0","6","1","5","0","6","2","4","0"
"2023","UCF","Big 12","","9.3","13","6","7","0","9","3","6","0","6","4","2","0","6","2","4","0"
"2023","Central Michigan","Mid-American","West","3.8","12","5","7","0","8","3","5","0","5","4","1","0","7","1","6","0"
"2023","Cincinnati","Big 12","","5","12","3","9","0","9","1","8","0","7","1","6","0","5","2","3","0"
"2023","Eastern Michigan","Mid-American","West","4.5","13","6","7","0","8","4","4","0","7","5","2","0","6","1","5","0"
"2023","Florida Atlantic","American Athletic","","3.9","12","4","8","0","8","3","5","0","6","2","4","0","6","2","4","0"
"2023","Florida International","Conference USA","","3.2","12","4","8","0","8","1","7","0","6","2","4","0","6","2","4","0"
"2023","Georgia State","Sun Belt","East","7.4","13","7","6","0","8","3","5","0","6","3","3","0","6","3","3","0"
"2023","Iowa","Big Ten","West","7.8","14","10","4","0","10","7","3","0","7","6","1","0","4","3","1","0"
"2023","Kansas","Big 12","","10.7","13","9","4","0","9","5","4","0","7","5","2","0","5","3","2","0"
"2023","Kansas State","Big 12","","7.6","13","9","4","0","9","6","3","0","7","6","1","0","5","2","3","0"
"2023","Kent State","Mid-American","East","2.1","12","1","11","0","8","0","8","0","5","1","4","0","7","0","7","0"
"2023","Liberty","Conference USA","","12.8","14","13","1","0","9","9","0","0","8","8","0","0","5","5","0","0"
"2023","Louisiana Tech","Conference USA","","4.2","12","3","9","0","8","2","6","0","6","2","4","0","6","1","5","0"
"2023","Miami","ACC","Coastal","8.4","13","7","6","0","8","3","5","0","7","5","2","0","5","2","3","0"
"2023","Middle Tennessee","Conference USA","","4.6","12","4","8","0","8","3","5","0","6","4","2","0","6","0","6","0"
"2023","Navy","American Athletic","","5.8","12","5","7","0","8","4","4","0","6","4","2","0","4","1","3","0"
"2023","Charlotte","American Athletic","","3.2","12","3","9","0","8","2","6","0","6","1","5","0","6","2","4","0"
"2023","Louisiana Monroe","Sun Belt","West","1.3","12","2","10","0","8","0","8","0","6","2","4","0","6","0","6","0"
"2023","UNLV","Mountain West","West","8.4","14","9","5","0","9","6","3","0","7","5","2","0","6","4","2","0"
"2023","Nevada","Mountain West","West","2.5","12","2","10","0","8","2","6","0","6","1","5","0","6","1","5","0"
"2023","Northern Illinois","Mid-American","West","7.9","13","7","6","0","8","5","3","0","6","3","3","0","6","3","3","0"
"2023","Oregon","Pac-12","","12.7","14","12","2","0","10","8","2","0","7","7","0","0","5","4","1","0"
"2023","Purdue","Big Ten","West","5.2","12","4","8","0","9","3","6","0","7","3","4","0","5","1","4","0"
"2023","Sam Houston State","Conference USA","","3.5","12","3","9","0","8","2","6","0","5","2","3","0","6","1","5","0"
"2023","SMU","American Athletic","","10.7","14","11","3","0","9","9","0","0","6","6","0","0","7","5","2","0"
"2023","Southern Mississippi","Sun Belt","West","4.1","12","3","9","0","8","2","6","0","6","2","4","0","6","1","5","0"
"2023","South Carolina","SEC","East","5.6","12","5","7","0","8","3","5","0","7","5","2","0","4","0","4","0"
"2023","TCU","Big 12","","6.2","12","5","7","0","9","3","6","0","7","4","3","0","5","1","4","0"
"2023","Tennessee","SEC","East","8.8","13","9","4","0","8","4","4","0","7","6","1","0","4","1","3","0"
"2023","UT San Antonio","American Athletic","","9.1","13","9","4","0","8","7","1","0","6","5","1","0","6","3","3","0"
"2023","UTEP","Conference USA","","4.7","12","3","9","0","8","2","6","0","6","1","5","0","6","2","4","0"
"2023","Texas Tech","Big 12","","6","13","7","6","0","9","5","4","0","6","4","2","0","6","2","4","0"
"2023","Toledo","Mid-American","West","10.7","14","11","3","0","9","8","1","0","6","6","0","0","6","5","1","0"
"2023","Troy","Sun Belt","West","10.1","14","11","3","0","9","8","1","0","7","6","1","0","6","5","1","0"
"2023","Tulane","American Athletic","","9.9","14","11","3","0","9","8","1","0","8","6","2","0","5","5","0","0"
"2023","Western Michigan","Mid-American","West","4.5","12","4","8","0","8","3","5","0","5","3","2","0","7","1","6","0"
"2023","Wyoming","Mountain West","Mountain","7.3","13","9","4","0","8","5","3","0","7","7","0","0","5","1","4","0"
