"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2020","9","Arizona State","Pac-12","South","2.7","4","2","2","0","4","2","2","0","1","0","1","0","3","2","1","0"
"2020","12","Arizona","Pac-12","South","0.5","5","0","5","0","5","0","5","0","3","0","3","0","2","0","2","0"
"2020","24","Stanford","Pac-12","North","1.6","6","4","2","0","6","4","2","0","1","0","1","0","5","4","1","0"
"2020","25","California","Pac-12","North","1.1","4","1","3","0","4","1","3","0","2","1","1","0","2","0","2","0"
"2020","26","UCLA","Pac-12","South","5.3","7","3","4","0","7","3","4","0","4","2","2","0","3","1","2","0"
"2020","30","USC","Pac-12","South","2.7","6","5","1","0","6","5","1","0","3","2","1","0","3","3","0","0"
"2020","38","Colorado","Pac-12","South","4.1","6","4","2","0","4","3","1","0","3","2","1","0","2","2","0","0"
"2020","204","Oregon State","Pac-12","North","2.1","7","2","5","0","7","2","5","0","5","2","3","0","2","0","2","0"
"2020","254","Utah","Pac-12","South","3.7","5","3","2","0","5","3","2","0","3","2","1","0","2","1","1","0"
"2020","264","Washington","Pac-12","North","2.6","4","3","1","0","4","3","1","0","4","3","1","0","0","0","0","0"
"2020","265","Washington State","Pac-12","North","0.7","4","1","3","0","4","1","3","0","1","0","1","0","3","1","2","0"
"2020","2483","Oregon","Pac-12","North","5","7","4","3","0","6","4","2","0","2","2","0","0","4","2","2","0"
