"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2022","58","South Florida","American Athletic","","3.2","12","1","11","0","8","0","8","0","5","1","4","0","6","0","6","0"
"2022","151","East Carolina","American Athletic","","7.4","13","8","5","0","8","4","4","0","7","4","3","0","4","2","2","0"
"2022","202","Tulsa","American Athletic","","5","12","5","7","0","8","3","5","0","6","3","3","0","6","2","4","0"
"2022","218","Temple","American Athletic","","4.3","12","3","9","0","8","1","7","0","7","3","4","0","5","0","5","0"
"2022","235","Memphis","American Athletic","","7.6","13","7","6","0","8","3","5","0","7","5","2","0","5","1","4","0"
"2022","248","Houston","American Athletic","","8","13","8","5","0","8","5","3","0","6","3","3","0","6","4","2","0"
"2022","2116","UCF","American Athletic","","7.6","14","9","5","0","9","6","3","0","7","5","2","0","6","4","2","0"
"2022","2132","Cincinnati","American Athletic","","6.5","13","9","4","0","8","6","2","0","6","5","1","0","5","3","2","0"
"2022","2426","Navy","American Athletic","","7.5","12","4","8","0","8","4","4","0","5","2","3","0","5","2","3","0"
"2022","2567","SMU","American Athletic","","6.5","13","7","6","0","8","5","3","0","6","4","2","0","6","3","3","0"
"2022","2655","Tulane","American Athletic","","9.1","14","12","2","0","9","8","1","0","8","6","2","0","5","5","0","0"
