"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2020","77","Northwestern","Big Ten","West","6.1","9","7","2","0","8","6","2","0","4","4","0","0","3","2","1","0"
"2020","84","Indiana","Big Ten","East","4.4","8","6","2","0","7","6","1","0","3","3","0","0","4","3","1","0"
"2020","120","Maryland","Big Ten","East","2.3","5","2","3","0","5","2","3","0","2","1","1","0","3","1","2","0"
"2020","127","Michigan State","Big Ten","East","2.6","7","2","5","0","7","2","5","0","4","1","3","0","3","1","2","0"
"2020","130","Michigan","Big Ten","East","2.2","6","2","4","0","6","2","4","0","3","0","3","0","3","2","1","0"
"2020","135","Minnesota","Big Ten","West","3.3","7","3","4","0","7","3","4","0","3","1","2","0","4","2","2","0"
"2020","158","Nebraska","Big Ten","West","3.5","8","3","5","0","8","3","5","0","3","1","2","0","5","2","3","0"
"2020","164","Rutgers","Big Ten","East","2","9","3","6","0","9","3","6","0","5","0","5","0","4","3","1","0"
"2020","194","Ohio State","Big Ten","East","6.9","8","7","1","0","6","6","0","0","3","3","0","0","2","2","0","0"
"2020","213","Penn State","Big Ten","East","5.3","9","4","5","0","9","4","5","0","5","2","3","0","4","2","2","0"
"2020","275","Wisconsin","Big Ten","West","4.8","7","4","3","0","6","3","3","0","3","2","1","0","3","1","2","0"
"2020","356","Illinois","Big Ten","West","2.3","8","2","6","0","8","2","6","0","3","0","3","0","5","2","3","0"
"2020","2294","Iowa","Big Ten","West","6.3","8","6","2","0","8","6","2","0","4","3","1","0","4","3","1","0"
"2020","2509","Purdue","Big Ten","West","1.2","6","2","4","0","6","2","4","0","4","1","3","0","2","1","1","0"
