"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2019","189","Bowling Green","Mid-American","East","2.8","12","3","9","0","8","2","6","0","6","3","3","0","6","0","6","0"
"2019","193","Miami (OH)","Mid-American","East","5.8","14","8","6","0","9","7","2","0","5","5","0","0","7","2","5","0"
"2019","195","Ohio","Mid-American","East","7.7","13","7","6","0","8","5","3","0","6","2","4","0","6","4","2","0"
"2019","2006","Akron","Mid-American","East","1.4","12","0","12","0","8","0","8","0","6","0","6","0","6","0","6","0"
"2019","2050","Ball State","Mid-American","West","5.1","12","5","7","0","8","4","4","0","6","3","3","0","5","2","3","0"
"2019","2084","Buffalo","Mid-American","East","9.4","13","8","5","0","8","5","3","0","6","5","1","0","6","2","4","0"
"2019","2117","Central Michigan","Mid-American","West","8.1","14","8","6","0","9","6","3","0","6","6","0","0","6","2","4","0"
"2019","2199","Eastern Michigan","Mid-American","West","6","13","6","7","0","8","3","5","0","5","2","3","0","7","4","3","0"
"2019","2309","Kent State","Mid-American","East","5.5","13","7","6","0","8","5","3","0","5","4","1","0","7","2","5","0"
"2019","2459","Northern Illinois","Mid-American","West","5.5","12","5","7","0","8","4","4","0","5","3","2","0","7","2","5","0"
"2019","2649","Toledo","Mid-American","West","5.8","12","6","6","0","8","3","5","0","6","5","1","0","6","1","5","0"
"2019","2711","Western Michigan","Mid-American","West","6.6","13","7","6","0","8","5","3","0","6","6","0","0","6","1","5","0"
