"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2020","66","Iowa State","Big 12","","8.7","12","9","3","0","10","8","2","0","6","5","1","0","4","3","1","0"
"2020","197","Oklahoma State","Big 12","","6.7","11","8","3","0","9","6","3","0","5","4","1","0","5","3","2","0"
"2020","201","Oklahoma","Big 12","","9","11","9","2","0","9","7","2","0","5","4","1","0","3","2","1","0"
"2020","239","Baylor","Big 12","","2.5","9","2","7","0","9","2","7","0","4","2","2","0","5","0","5","0"
"2020","251","Texas","Big 12","","6.3","10","7","3","0","8","5","3","0","5","3","2","0","3","3","0","0"
"2020","277","West Virginia","Big 12","","5.2","10","6","4","0","8","4","4","0","5","5","0","0","4","0","4","0"
"2020","2305","Kansas","Big 12","","0.3","9","0","9","0","8","0","8","0","4","0","4","0","5","0","5","0"
"2020","2306","Kansas State","Big 12","","5","10","4","6","0","9","4","5","0","5","2","3","0","5","2","3","0"
"2020","2628","TCU","Big 12","","6.2","10","6","4","0","9","5","4","0","6","3","3","0","4","3","1","0"
"2020","2641","Texas Tech","Big 12","","3.7","10","4","6","0","9","3","6","0","6","4","2","0","4","0","4","0"
