Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal,PositionId,TeamId,ConferenceId
2020,4690877,Tony Anyanwu,LB,Baylor,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,2.5,9,2,7,0,9,2,7,0,4,2,2,0,5,0,5,0,165,12,20,1,5,9,2,204,8,2,826,32,1979,331,205,12,14,64,562,15738,0,43,11,297,8,821,18,59,47,142,2800,9,,No,0,35,2
2020,4690881,Victor Obi,DE,Baylor,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,6.0,,0.0,1.0,6.0,,,,,,,,,2.5,9,2,7,0,9,2,7,0,4,2,2,0,5,0,5,0,165,12,20,1,5,9,2,204,8,2,826,32,1979,331,205,12,14,64,562,15738,0,43,11,297,8,821,18,59,47,142,2800,9,,No,7,35,2
2020,4690978,Cam White,DB,Texas Tech,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,5.0,,0.0,0.0,5.0,,,,,,,,,3.7,10,4,6,0,9,3,6,0,6,4,2,0,4,0,4,0,215,12,22,7,5,10,0,45,11,0,395,23,2649,395,257,5,18,66,574,16241,1,96,18,337,17,1637,17,58,55,148,4286,18,,No,6,28,2
2020,4690980,Cameron Watts,DB,Texas Tech,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.5,3.0,,,,,,,,,3.7,10,4,6,0,9,3,6,0,6,4,2,0,4,0,4,0,215,12,22,7,5,10,0,45,11,0,395,23,2649,395,257,5,18,66,574,16241,1,96,18,337,17,1637,17,58,55,148,4286,18,,No,6,28,2
2020,4690985,Jon-Jon Davis,DB,Texas Tech,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,,,,,,,3.7,10,4,6,0,9,3,6,0,6,4,2,0,4,0,4,0,215,12,22,7,5,10,0,45,11,0,395,23,2649,395,257,5,18,66,574,16241,1,96,18,337,17,1637,17,58,55,148,4286,18,,No,6,28,2
2020,4691003,Preston Fox,WR,West Virginia,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,,,,,,,5.2,10,6,4,0,8,4,4,0,5,5,0,0,4,0,4,0,219,12,22,8,2,10,1,112,4,0,460,23,2775,401,253,11,16,82,741,19093,0,105,21,358,15,1350,21,62,67,162,4125,12,,No,2,32,2
2020,4692518,Brian Darby,WR,Oklahoma,Big12,0.0013,0.0027,0.0,0.0,0.004,0.0,0.0,0.005,,,,,,,,,,14.0,,,,,,,1.0,,,,0.0,,,,,14.0,,,,14.0,,9.0,11,9,2,0,9,7,2,0,5,4,1,0,3,2,1,0,274,8,10,6,3,11,1,215,8,0,391,16,3465,362,249,16,30,79,721,21294,0,198,16,419,27,1977,37,81,55,135,5442,14,,No,2,36,2
2020,4692520,Joshua Eaton,CB,Oklahoma,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,3.0,,,,,,,,,9.0,11,9,2,0,9,7,2,0,5,4,1,0,3,2,1,0,274,8,10,6,3,11,1,215,8,0,391,16,3465,362,249,16,30,79,721,21294,0,198,16,419,27,1977,37,81,55,135,5442,14,,No,13,36,2
2020,4692521,Reggie Grimes II,DL,Oklahoma,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5.0,,0.0,1.0,6.0,,,,,,,,,9.0,11,9,2,0,9,7,2,0,5,4,1,0,3,2,1,0,274,8,10,6,3,11,1,215,8,0,391,16,3465,362,249,16,30,79,721,21294,0,198,16,419,27,1977,37,81,55,135,5442,14,,No,1,36,2
2020,4692530,Chandler Morris,QB,Oklahoma,Big12,0.0105,0.008,0.0129,0.0053,0.012,0.022,0.01,0.019,5.0,,5.0,3.0,,,,0.0,,16.0,,,0.6,,,,,,,,2.0,,,,,83.0,7.8,8.8,,,,9.0,11,9,2,0,9,7,2,0,5,4,1,0,3,2,1,0,274,8,10,6,3,11,1,215,8,0,391,16,3465,362,249,16,30,79,721,21294,0,198,16,419,27,1977,37,81,55,135,5442,14,,No,12,36,2
2020,4692537,Brynden Walker,DL,Oklahoma,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.5,4.0,,0.0,0.5,6.0,,,,,,,,,9.0,11,9,2,0,9,7,2,0,5,4,1,0,3,2,1,0,274,8,10,6,3,11,1,215,8,0,391,16,3465,362,249,16,30,79,721,21294,0,198,16,419,27,1977,37,81,55,135,5442,14,,No,1,36,2
2020,4692550,Trevon West,WR,Oklahoma,Big12,0.0052,0.0106,0.0,0.0053,0.008,0.0,0.01,0.0,,,,,,,,,,23.0,,,,,,,4.0,,,,0.0,,,,,59.0,,,,14.8,,9.0,11,9,2,0,9,7,2,0,5,4,1,0,3,2,1,0,274,8,10,6,3,11,1,215,8,0,391,16,3465,362,249,16,30,79,721,21294,0,198,16,419,27,1977,37,81,55,135,5442,14,3.0,Yes,2,36,2
2020,4695223,Chase Curtis,TE,TCU,Big12,0.0015,0.0,0.0026,0.0,0.0,0.0,0.006,0.0,,,1.0,,,,,,,0.0,,,,0.0,,0.0,,0.0,4.0,,0.0,0.0,4.0,,,-2.0,,-2.0,,,,6.2,10,6,4,0,9,5,4,0,6,3,3,0,4,3,1,0,192,8,14,9,4,10,1,84,5,0,395,20,1933,272,163,8,10,76,628,18050,2,326,25,410,23,2151,23,77,52,143,4084,14,,No,4,33,2
2021,3682406,Daniel Imatorbhebhe,TE,Kansas State,Big12,0.0202,0.0457,0.0,0.018,0.016,0.028,0.01,0.031,,,,,,,,,,73.0,,,,,,,12.0,,,,2.0,,,,,314.0,,,,26.2,,7.4,13,8,5,0,9,4,5,0,7,4,3,0,4,2,2,0,233,15,20,7,4,13,0,108,7,2,735,27,2599,311,204,11,14,71,595,23324,1,102,12,436,29,2111,30,90,64,146,4710,14,,No,4,29,2
2021,3860070,Seth Collins,DB,Texas Tech,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,4.0,,0.0,0.0,6.0,,,,,,,,,6.0,13,7,6,0,9,3,6,0,6,3,3,0,5,2,3,0,254,14,29,9,5,13,2,28,11,0,368,20,3344,388,245,10,18,68,580,21820,0,148,22,436,30,2068,20,61,67,157,5412,20,,No,6,28,2
2021,4030947,Drew Estrada,WR,Baylor,Big12,0.0486,0.1065,0.0089,0.0474,0.056,0.044,0.045,0.056,,26.0,8.0,,,,1.0,,,89.0,0.0,1.0,,,,,30.0,,,,1.0,,,,,397.0,,0.5,,12.2,,10.2,14,12,2,0,10,8,2,0,7,7,0,0,5,3,2,0,290,22,35,8,6,14,2,254,7,1,650,30,2843,365,237,19,24,75,677,26367,0,154,19,572,29,3070,44,103,77,183,5913,15,,No,2,35,2
2021,4032518,Alonzo Addae,S,West Virginia,Big12,,,,,,,,,,,,,,,0.0,,,,0.0,,,3.0,,0.0,1.0,1.0,45.0,,0.0,4.5,73.0,,,,,,,,,6.0,13,6,7,0,9,4,5,0,6,4,2,0,6,2,4,0,278,19,28,8,5,13,0,104,12,1,672,29,3223,447,290,9,19,67,561,24457,0,59,19,452,19,1601,27,82,74,186,4824,20,,No,10,32,2
2021,4032589,Josh Burger,OL,Texas Tech,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,,,,,,,6.0,13,7,6,0,9,3,6,0,6,3,3,0,5,2,3,0,254,14,29,9,5,13,2,28,11,0,368,20,3344,388,245,10,18,68,580,21820,0,148,22,436,30,2068,20,61,67,157,5412,20,,No,3,28,2
2021,4034313,Deshawn Stevens,LB,West Virginia,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,10.0,,0.0,0.0,12.0,,,,,,,,,6.0,13,6,7,0,9,4,5,0,6,4,2,0,6,2,4,0,278,19,28,8,5,13,0,104,12,1,672,29,3223,447,290,9,19,67,561,24457,0,59,19,452,19,1601,27,82,74,186,4824,20,,No,0,32,2
2021,4034643,Reginald Stubblefield,DB,Kansas State,Big12,,,,,,,,,,,,,,,0.0,,,,0.0,,,2.0,,3.0,1.0,1.0,27.0,,0.0,7.0,34.0,,,,,,,,,7.4,13,8,5,0,9,4,5,0,7,4,3,0,4,2,2,0,233,15,20,7,4,13,0,108,7,2,735,27,2599,311,204,11,14,71,595,23324,1,102,12,436,29,2111,30,90,64,146,4710,14,,No,6,29,2
2021,4034860,JD Spielman,WR,TCU,Big12,0.0122,0.0215,0.0053,0.0068,0.015,0.021,0.019,0.014,,33.6,3.0,,,,,,,131.0,,10.0,,,,,8.0,,,,2.0,,,,,434.0,,2.3,,15.6,,4.8,12,5,7,0,9,3,6,0,7,4,3,0,5,1,4,0,252,7,18,10,3,12,1,83,6,1,804,30,2838,310,200,10,19,85,737,21223,0,92,10,473,21,2330,15,49,76,166,5168,16,,No,2,33,2
2021,4035105,Christian Holmes,CB,Oklahoma State,Big12,,,,,,,,,,2.0,,,,,,1.0,,,,,,7.0,,0.0,,0.0,33.0,,0.0,0.0,39.0,,,2.0,,,,,,10.1,14,12,2,0,10,8,2,0,7,7,0,0,5,4,1,0,331,7,13,7,12,14,1,159,13,2,608,22,3246,447,274,9,23,84,781,25941,1,68,18,620,27,2597,57,118,94,220,5843,20,,No,13,31,2
2021,4035289,Greg Eisworth,DB,Iowa State,Big12,,,,,,,,,,9.0,,,,,,2.0,,,,,,3.0,,1.0,,0.0,32.0,,0.0,2.5,60.0,,,18.0,,,,,,7.3,13,7,6,0,9,5,4,0,6,5,1,0,6,2,4,0,280,15,23,5,7,13,1,78,9,0,405,22,3430,446,313,11,22,63,502,24110,0,111,17,411,25,2089,33,85,60,165,5519,14,,No,6,34,2
2021,4035401,Jairon McVea,S,Baylor,Big12,,,,,,,,,,0.0,,,,,,2.0,,,,,,2.0,,1.0,,0.0,20.0,,0.0,0.5,27.0,,,0.0,,,,,,10.2,14,12,2,0,10,8,2,0,7,7,0,0,5,3,2,0,290,22,35,8,6,14,2,254,7,1,650,30,2843,365,237,19,24,75,677,26367,0,154,19,572,29,3070,44,103,77,183,5913,15,,No,10,35,2
2021,4035406,Thor Rodoni,LS,Baylor,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,10.2,14,12,2,0,10,8,2,0,7,7,0,0,5,3,2,0,290,22,35,8,6,14,2,254,7,1,650,30,2843,365,237,19,24,75,677,26367,0,154,19,572,29,3070,44,103,77,183,5913,15,,No,15,35,2
2021,4035410,Raleigh Texada,CB,Baylor,Big12,,,,,,,,,,2.0,,,,,0.0,1.0,,,0.0,,,3.0,,2.0,1.0,1.0,27.0,,0.0,1.0,34.0,,,2.0,,,,,,10.2,14,12,2,0,10,8,2,0,7,7,0,0,5,3,2,0,290,22,35,8,6,14,2,254,7,1,650,30,2843,365,237,19,24,75,677,26367,0,154,19,572,29,3070,44,103,77,183,5913,15,,No,13,35,2
2021,4035438,Eric Monroe,DB,Texas Tech,Big12,,,,,,,,,,8.0,,,,,,2.0,,15.0,,2.0,,2.0,,1.0,,0.0,45.0,,0.0,3.5,82.0,,,16.0,,,,,,6.0,13,7,6,0,9,3,6,0,6,3,3,0,5,2,3,0,254,14,29,9,5,13,2,28,11,0,368,20,3344,388,245,10,18,68,580,21820,0,148,22,436,30,2068,20,61,67,157,5412,20,,No,6,28,2
2021,4035442,Ray Thornton,LB,Texas,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,17.0,,0.0,4.5,31.0,,,,,,,,,4.6,12,5,7,0,9,3,6,0,6,4,2,0,5,1,4,0,244,9,20,7,8,12,1,91,10,0,504,28,2705,346,217,7,29,69,579,20217,0,174,17,457,25,2392,20,72,70,160,5097,17,,No,0,37,2
2021,4035526,Chase Allen,TE,Iowa State,Big12,0.033,0.06,0.0,0.0328,0.049,0.013,0.027,0.037,,,,,,,,,,35.0,,,,,,,26.0,,,,2.0,,,,,284.0,,,,10.9,,7.3,13,7,6,0,9,5,4,0,6,5,1,0,6,2,4,0,280,15,23,5,7,13,1,78,9,0,405,22,3430,446,313,11,22,63,502,24110,0,111,17,411,25,2089,33,85,60,165,5519,14,,No,4,34,2
2021,4035912,Kwamie Lassiter II,WR,Kansas,Big12,0.1113,0.2531,0.0048,0.1036,0.121,0.123,0.083,0.145,,13.5,,,,,2.0,,,87.0,0.0,8.0,,,,,59.0,,,,3.0,,,,,761.0,,,,11.1,,1.7,12,2,10,0,9,1,8,0,6,1,5,0,6,1,5,0,196,11,30,3,7,12,2,146,10,0,553,27,2218,318,195,7,15,49,404,22197,0,108,8,435,15,1674,16,43,59,164,3892,13,,No,2,30,2
2021,4036038,Jacob Morgenstern,LB,Texas Tech,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,1.0,6.0,,0.0,1.0,6.0,,,,,,,,,6.0,13,7,6,0,9,3,6,0,6,3,3,0,5,2,3,0,254,14,29,9,5,13,2,28,11,0,368,20,3344,388,245,10,18,68,580,21820,0,148,22,436,30,2068,20,61,67,157,5412,20,,No,0,28,2
2021,4036419,Skylar John Thompson,QB,Kansas State,Big12,0.3342,0.6768,0.0636,0.2695,0.333,0.458,0.254,0.496,233.0,,47.0,162.0,,,2.0,4.0,,26.0,0.0,,0.695,0.0,,0.0,0.0,0.0,1.0,,16.0,0.0,1.0,,,2117.0,9.1,0.1,,,,7.4,13,8,5,0,9,4,5,0,7,4,3,0,4,2,2,0,233,15,20,7,4,13,0,108,7,2,735,27,2599,311,204,11,14,71,595,23324,1,102,12,436,29,2111,30,90,64,146,4710,14,,No,12,29,2
2021,4037641,Caleb Kelly,LB,Oklahoma,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,7.0,,0.0,1.0,18.0,,,,,,,,,8.4,13,11,2,0,9,7,2,0,7,7,0,0,4,2,2,0,289,11,16,4,14,13,0,104,9,0,244,13,3425,403,279,11,32,87,733,22892,0,69,12,448,29,2438,33,97,63,148,5863,13,,No,0,36,2
2021,4037644,Bryan Mead,LB,Oklahoma,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,7.0,,0.0,0.0,9.0,,,,,,,,,8.4,13,11,2,0,9,7,2,0,7,7,0,0,4,2,2,0,289,11,16,4,14,13,0,104,9,0,244,13,3425,403,279,11,32,87,733,22892,0,69,12,448,29,2438,33,97,63,148,5863,13,,No,0,36,2
2021,4038436,Devin Harper,LB,Oklahoma State,Big12,,,,,,,,,,,,,,,0.0,,,,0.0,,,1.0,,15.0,2.0,6.0,60.0,,0.0,11.0,95.0,,,,,,,,,10.1,14,12,2,0,10,8,2,0,7,7,0,0,5,4,1,0,331,7,13,7,12,14,1,159,13,2,608,22,3246,447,274,9,23,84,781,25941,1,68,18,620,27,2597,57,118,94,220,5843,20,,No,0,31,2
